verdict,canonicalName,fdcDescription,fdcId,calories,fat,protein,carbs,judgeReason,guardrailVerdict,overlapRatio,hansRuling
NO,black forest ham,"SUBWAY, black forest ham sub on white bread with lettuce and tomato",170712,151,2.53,9.12,22.9,"Matched to a full sub sandwich (with bread, lettuce, tomato) not plain ham; carbs 22.9g reveal the bread, not the meat ingredient.",fail,0.3,
NO,bananas,"Bananas, dehydrated, or banana powder",173945,346,1.81,3.89,88.3,"Recipe 'bananas' means fresh raw (~89 cal/100g), but record is dehydrated banana powder (346 cal/100g) — wrong state, macros and density way off.",fail,0.33,
NO,butter,"Butter, Clarified butter (ghee)",171314,900,100,0,0,"Ghee is clarified (water/milk solids removed), so it's ~100% fat vs butter's ~81% fat and ~16% water—different macros and density.",pass,0.33,
NO,buttermilk,"Milk, buttermilk, dried",171274,387,5.78,34.3,49,"Recipe buttermilk is liquid (~40 cal/100g), but record is dried buttermilk powder (387 cal/100g); wrong state, macros/density way off.",fail,0.33,
NO,chicken tenderloins,"CRACKER BARREL, chicken tenderloin platter, fried",169842,293,15.5,18.1,20.3,Recipe wants raw chicken tenderloins; matched record is a battered/fried restaurant platter with 20g carbs and high fat.,fail,0.33,
NO,chickpeas,Chickpea flour (besan),174288,387,6.69,22.4,57.8,"Recipe 'chickpeas' means whole beans, not besan flour; density and per-quantity macros differ.",pass,0.33,
NO,crusty artisan bread loaf,"Pillsbury, Crusty French Loaf, refrigerated dough",173261,243,2.88,8.59,46.4,"Recipe wants baked bread; USDA record is raw refrigerated dough (wrong state, macros/density differ).",fail,0.33,
NO,crusty sourdough loaf,"Pillsbury, Crusty French Loaf, refrigerated dough",173261,243,2.88,8.59,46.4,"Recipe wants baked sourdough bread; record is raw refrigerated dough—wrong state, macros/density off.",fail,0.33,
NO,fresh mozzarella,"APPLEBEE'S, mozzarella sticks",169011,316,18.4,14.9,22.9,Fresh mozzarella is plain cheese; matched to breaded/fried mozzarella sticks (22.9g carbs from breading vs ~near-zero for cheese).,fail,0.33,
NO,fresh tarragon,"Spices, tarragon, dried",170937,295,7.24,22.8,50.2,"Recipe wants fresh tarragon but record is dried; water content differs hugely, throwing off density and per-quantity macros.",fail,0.33,
NO,large shrimp,"Crustaceans, shrimp, cooked",175180,99,0.28,24,0.2,Recipe 'large shrimp' means raw/uncooked; cooked shrimp is a different state with concentrated macros (24g protein vs ~raw).,fail,0.33,
NO,marinara sauce,"OLIVE GARDEN, cheese ravioli with marinara sauce",169037,159,5.61,7.44,19.6,"Matched to a full ravioli entree dish, not plain marinara sauce; protein 7.44g/100g is far too high for sauce.",fail,0.33,
NO,peanuts,"Candies, peanut bar",169585,522,33.7,15.5,47.4,"Recipe 'peanuts' means the nut; matched to a candy bar with added sugar (47g carbs), a different food.",fail,0.33,
NO,shrimp,"Crustaceans, shrimp, cooked",175180,99,0.28,24,0.2,"Recipe 'shrimp' is typically raw when measured; cooked record is more concentrated/dehydrated, shifting per-quantity macros and density.",fail,0.33,
NO,spaghetti,"DENNY'S, spaghetti and meatballs",169845,170,8.52,7.84,15.5,"Plain spaghetti pasta matched to a prepared 'spaghetti and meatballs' dish; macros reflect sauce/meat, not pasta.",fail,0.33,
NO,white sandwich bread,"Fast foods, submarine sandwich, meatball marinara on white bread",170709,219,8.45,9.77,26,"Ingredient is plain white bread, but record is a whole meatball marinara sub sandwich—different food with meat/sauce macros.",fail,0.33,
NO,whole milk,"Cheese, mozzarella, whole milk",170845,299,22.1,22.2,2.4,"Ingredient is whole milk (liquid dairy), but matched record is mozzarella cheese — a different food with wildly different macros.",fail,0.33,
NO,whole nutmeg,"Oil, nutmeg butter",172335,884,100,0,0,"Whole nutmeg (a spice) matched to nutmeg butter oil, which is ~100% fat—a different product, not the ground/whole spice a recipe uses.",fail,0.33,
NO,thick-cut white sandwich bread,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",167598,298,8.02,5.4,51.2,"Gluten-free bread has very different macros (8g fat, 51g carbs) than standard white sandwich bread (~3g fat, ~49g carbs); wrong subtype.",fail,0.38,
NO,beef broth,"Soup, beef broth, cubed, dry",171561,170,4,17.3,16.1,"Recipe 'beef broth' is a liquid (~10-15 cal/100g); matched record is a dry cube concentrate with 170 cal/100g—wrong state, macros/density way off.",fail,0.4,
NO,chicken breast,"Chicken breast tenders, breaded, uncooked",171515,263,15.8,14.7,15,"Recipe 'chicken breast' means plain meat; matched record is breaded (15g carbs, high fat) — wrong food/state, macros off.",pass,0.4,
NO,green onion,"Onions, young green, tops only",170006,27,0.47,0.97,5.74,"Recipe 'green onion' uses whole scallions (white+green), but this record is tops only, a different portion with different macros.",pass,0.4,
NO,rotisserie chicken,"Chicken, broiler, rotisserie, BBQ, skin",171524,378,35.2,15.2,0.7,"Macros show ~35g fat / 15g protein, a skin-on BBQ variant; recipe rotisserie chicken is typically leaner/mixed, and this specific record's fat-heavy profile misrepresents it.",pass,0.4,
NO,russet potatoes,"Potatoes, Russet, flesh and skin, baked",170030,95,0.13,2.63,21.4,"Recipe russet potatoes are used raw/uncooked; USDA record is baked, changing density and per-quantity macros",pass,0.4,
NO,beef strip steak,"Beef, grass-fed, strip steaks, lean only, raw",169429,117,2.69,23.1,0,"Recipe steak includes fat; USDA record is 'lean only' (2.69g fat), understating fat macros.",pass,0.43,
NO,boneless pork shoulder,"Pork, Shoulder breast, boneless, separable lean and fat, raw",169187,127,3.4,22.5,0,"Recipe wants pork shoulder (butt/picnic, fatty ~15-20g fat/100g); matched record is 'shoulder breast' lean cut at only 3.4g fat—wrong cut, macros far off.",pass,0.43,
NO,apples,"Croissants, apple",174988,254,8.7,7.4,37.1,"Recipe wants raw apples, but matched record is a pastry (croissant) with high fat/protein, a different food.",fail,0.5,
NO,avocado,"Oil, avocado",173573,884,100,0,0,"Recipe 'avocado' is the fruit; matched record is avocado OIL (100% fat, 0 protein/carbs).",fail,0.5,
NO,bacon,"Bacon, meatless",172439,309,29.5,11.7,5.31,"Recipe 'bacon' means pork bacon, but record is a meatless vegetarian substitute — different food.",pass,0.5,
NO,black beans,"Beans, black, mature seeds, raw",173734,341,1.42,21.6,62.4,Recipe 'black beans' typically means cooked/canned; raw dry beans have ~3x the per-100g macros and different density.,pass,0.5,
NO,carrot,"Carrot, dehydrated",170500,341,1.49,8.1,79.6,"Recipe 'carrot' means fresh/raw (~41 kcal, ~10g carbs, ~88% water); dehydrated carrot at 341 kcal is wrong state, off by ~8x on macros/density.",fail,0.5,
NO,carrots,"Carrot, dehydrated",170500,341,1.49,8.1,79.6,"Recipe 'carrots' means raw/fresh (~41 kcal, ~10g carbs, ~88% water); dehydrated carrot at 341 kcal is the wrong state with wildly different macros and density.",fail,0.5,
NO,chicken broth,"Chicken, canned, no broth",171110,185,8.1,25.3,0.9,"Record is solid canned chicken meat (185 kcal, 8g fat, 25g protein), not liquid broth — different food, wrong macros/density.",pass,0.5,
NO,chicken drumstick,"Chicken, skin (drumsticks and thighs), raw",172855,440,44.2,9.58,0.79,"Record is chicken skin only (~44g fat, 9g protein), not the drumstick meat a recipe would use.",pass,0.5,
NO,chicken drumsticks,"Chicken, skin (drumsticks and thighs), raw",172855,440,44.2,9.58,0.79,"Record is chicken skin only (~100% fat), not the meat of a drumstick; macros far too fatty and protein-poor.",pass,0.5,
NO,chicken thighs,"Chicken, skin (drumsticks and thighs), raw",172855,440,44.2,9.58,0.79,"Record is chicken SKIN only (~44g fat, low protein), not chicken thigh meat; macros clearly wrong.",pass,0.5,
NO,cooked ham,"Ham, honey, smoked, cooked",174611,122,2.37,17.9,7.27,"Honey ham has added sugar (7.27g carbs); plain cooked ham is ~0 carbs, so macros differ meaningfully.",pass,0.5,
NO,frozen peas,"Peas and carrots, frozen, unprepared",170425,53,0.47,3.4,11.2,Recipe wants plain peas but record is 'Peas and carrots'—a different mixed food.,pass,0.5,
NO,olive oil spray,"Oil, olive, salad or cooking",171413,884,100,0,0,Spray oil is used in tiny per-serving amounts; matching to bulk 100% fat oil misrepresents actual macro contribution per use.,pass,0.5,
NO,orange,"Marmalade, orange",168819,246,0,0.3,66.3,"Recipe 'orange' means the raw fruit, but matched record is marmalade (sugary preserve) with ~66g carbs vs ~12g for raw orange.",fail,0.5,
NO,oranges,"Marmalade, orange",168819,246,0,0.3,66.3,"Recipe 'oranges' means raw fruit, but marmalade is a sugary processed preserve with ~246 kcal and 66g carbs vs raw orange's ~47 kcal.",fail,0.5,
NO,quinoa,"Quinoa, cooked",168917,120,1.92,4.4,21.3,"Recipe 'quinoa' means dry grain, but record is cooked (water-diluted macros/density are wrong).",pass,0.5,
NO,ripe avocado,"Oil, avocado",173573,884,100,0,0,"Avocado oil (100% fat, 884 kcal) is a different food than a whole ripe avocado; this is the explicit example.",fail,0.5,
NO,small potato,"Bread, potato",167943,266,3.13,12.5,47.1,"A recipe's 'small potato' is a raw tuber, but the record is potato BREAD—a different processed food with far higher calories/protein/fat.",fail,0.5,
NO,tomato,Tomato powder,170461,302,0.44,12.9,74.7,"Recipe 'tomato' means fresh (~18 kcal/100g, ~95% water); powder is dehydrated with vastly different macros and density.",fail,0.5,
NO,tomatoes,Tomato powder,170461,302,0.44,12.9,74.7,"Recipe 'tomatoes' means fresh/whole (~18 kcal/100g, ~95% water); tomato powder is dehydrated with vastly different density and macros.",fail,0.5,
NO,water,"Water convolvulus,raw",169301,19,0.2,2.6,3.13,"Water convolvulus is a leafy vegetable (kangkong), not plain water which has zero macros.",pass,0.5,
NO,long grain white rice,"Rice, white, long-grain, parboiled, enriched, cooked",169708,123,0.37,2.91,26,"Recipe rice means dry; matched record is cooked (parboiled), ~123 cal/100g reflects water weight, wrong density and per-quantity macros.",pass,0.57,
NO,long-grain white rice,"Rice, white, long-grain, parboiled, enriched, cooked",169708,123,0.37,2.91,26,Recipe 'long-grain white rice' means dry; matched USDA record is cooked (macros ~123 cal/100g reflect water-heavy state).,pass,0.57,
NO,canned black beans,"Soup, black bean, canned, condensed",171141,91,1.32,4.83,15.4,"Record is black bean SOUP (condensed), not the beans themselves; macros differ substantially.",fail,0.6,
NO,lean ground beef,"Beef, ground, 70% lean meat / 30% fat, raw",168652,332,30,14.4,0,"Recipe 'lean' ground beef vs USDA 70/30 (fattiest, 30g fat) mismatches fat macro significantly.",pass,0.6,
NO,brown rice,"Flour, rice, brown",1104812,365,3.85,7.19,75.5,"Recipe 'brown rice' means whole rice grains, but record is brown rice FLOUR — different form with different density/behavior.",fail,0.67,
NO,ground turkey,"Turkey, Ground, cooked",171506,203,10.4,27.4,0,"Recipe 'ground turkey' means raw; USDA record is cooked, so per-gram macros and density are off.",pass,0.67,
NO,orange juice,"Babyfood, juice, orange",171354,45,0.3,0.6,10.2,Babyfood orange juice is a different product than plain orange juice a recipe would use.,fail,0.67,
NO,rice noodles,"Rice noodles, cooked",168914,108,0.2,1.79,24,Recipes name 'rice noodles' as dry weight; USDA 'cooked' row is water-laden with wrong density and per-quantity macros.,pass,0.67,
NO,sweet potato,"Sweet potato leaves, raw",169303,42,0.51,2.49,8.82,"Recipe means the tuber, but record is the plant's leaves — a different food.",pass,0.67,
NO,wild rice,"Wild rice, cooked",168897,101,0.34,3.99,21.3,Recipe 'wild rice' means dry; matched to cooked record with water-diluted macros.,pass,0.67,
NO,lime zest,"Limes, raw",168155,30,0.2,0.7,10.5,"Zest is the flavorful outer peel, not whole raw limes; different food part with different macros/density.",pass,1,
UNSURE,american cheese,(FDC record not returned),747429,375,31.1,17.5,6.35,FDC description unavailable,fail,0,
UNSURE,beef hot dogs,(FDC record not returned),323121,314,28,11.7,2.89,FDC description unavailable,fail,0,
UNSURE,broccoli,(FDC record not returned),747447,31,0.34,2.57,6.27,FDC description unavailable,fail,0,
UNSURE,canned diced tomatoes,(FDC record not returned),333281,18,0.5,0.84,3.32,FDC description unavailable,fail,0,
UNSURE,cheddar,(FDC record not returned),328637,408,34,23.3,2.44,FDC description unavailable,fail,0,
UNSURE,cheddar cheese,(FDC record not returned),328637,408,34,23.3,2.44,FDC description unavailable,fail,0,
UNSURE,cherry tomato,(FDC record not returned),321360,27,0.63,0.83,5.51,FDC description unavailable,fail,0,
UNSURE,diced tomatoes,(FDC record not returned),333281,18,0.5,0.84,3.32,FDC description unavailable,fail,0,
UNSURE,dill pickle,(FDC record not returned),324653,12,0.43,0.48,1.99,FDC description unavailable,fail,0,
UNSURE,dill pickle chips,(FDC record not returned),324653,12,0.43,0.48,1.99,FDC description unavailable,fail,0,
UNSURE,dill pickle slices,(FDC record not returned),324653,12,0.43,0.48,1.99,FDC description unavailable,fail,0,
UNSURE,egg,(FDC record not returned),747997,55,0,10.7,2.36,FDC description unavailable,fail,0,
UNSURE,eggs,(FDC record not returned),747997,55,0,10.7,2.36,FDC description unavailable,fail,0,
UNSURE,jarred salsa,(FDC record not returned),746777,29,0.19,1.44,6.74,FDC description unavailable,fail,0,
UNSURE,large egg,(FDC record not returned),747997,55,0,10.7,2.36,FDC description unavailable,fail,0,
UNSURE,large eggs,(FDC record not returned),747997,55,0,10.7,2.36,FDC description unavailable,fail,0,
UNSURE,low-moisture mozzarella,(FDC record not returned),329370,298,20.4,23.7,4.44,FDC description unavailable,fail,0,
UNSURE,low-moisture mozzarella cheese,(FDC record not returned),329370,298,20.4,23.7,4.44,FDC description unavailable,fail,0,
UNSURE,mild salsa,(FDC record not returned),746777,29,0.19,1.44,6.74,FDC description unavailable,fail,0,
UNSURE,salsa roja,(FDC record not returned),746777,29,0.19,1.44,6.74,FDC description unavailable,fail,0,
UNSURE,shredded cheddar cheese,(FDC record not returned),328637,408,34,23.3,2.44,FDC description unavailable,fail,0,
UNSURE,swiss cheese,(FDC record not returned),746767,393,31,27,1.44,FDC description unavailable,fail,0,
UNSURE,whole milk ricotta cheese,(FDC record not returned),746766,157,11,7.81,6.86,FDC description unavailable,fail,0,
UNSURE,whole-milk ricotta,(FDC record not returned),746766,157,11,7.81,6.86,FDC description unavailable,fail,0,
UNSURE,whole-milk ricotta cheese,(FDC record not returned),746766,157,11,7.81,6.86,FDC description unavailable,fail,0,
UNSURE,yellow mustard,(FDC record not returned),326698,61,3.38,4.25,5.3,FDC description unavailable,fail,0,
YES,tahini,"Seeds, sesame butter, tahini, type of kernels unspecified",168604,592,53,17.4,21.5,Tahini matched to sesame butter (tahini); macros fit as recipes use it.,fail,0.14,
YES,beef sirloin,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",169458,219,10.5,29,0,Beef top sirloin cooked matches beef sirloin ingredient; macros are consistent with lean cooked beef.,pass,0.17,
YES,scallions,"Onions, spring or scallions (includes tops and bulb), raw",170005,32,0.19,1.83,7.34,Scallions are exactly spring onions/scallions; macros consistent with raw vegetable.,fail,0.17,
YES,skirt steak,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",172159,195,12.8,20.1,0,Skirt steak is exactly the inside skirt plate steak; raw state and macros match.,fail,0.17,
YES,tomato paste,"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)",170459,82,0.47,4.32,18.9,Correct food and state; tomato paste macros match USDA canned paste.,pass,0.17,
YES,bean sprouts,"Mung beans, mature seeds, sprouted, raw",169957,30,0.18,3.04,5.94,"Bean sprouts commonly means mung bean sprouts, raw; macros match.",pass,0.2,
YES,fajita seasoning,"Seasoning mix, dry, taco, original",172243,322,0,4.5,58,Taco seasoning is a close analog to fajita seasoning; both are dry spice/salt blends with near-identical macro profiles.,pass,0.2,
YES,lager beer,"Alcoholic beverage, beer, regular, all",168746,43,0,0.46,3.55,Lager is a regular beer; USDA regular beer macros match the intended use.,fail,0.2,
YES,san marzano tomatoes,"Tomatoes, red, ripe, canned, packed in tomato juice",170051,16,0.25,0.79,3.47,San Marzano tomatoes are canned red ripe tomatoes; macros match a usable state.,fail,0.2,
YES,flank steak,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",169433,165,8.29,21.2,0,"Beef flank steak, raw, correct cut and state; macros consistent with lean beef.",fail,0.22,
YES,red grapes,"Grapes, red or green (European type, such as Thompson seedless), raw",174683,69,0.16,0.72,18.1,Red grapes raw match the USDA grape record; macros are consistent.,pass,0.22,
YES,beef sirloin steak tips,"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",174024,265,15.2,30,0,"Both are beef sirloin steak, cooked; tri-tip is a sirloin cut with reasonable macros for recipe use.",pass,0.24,
YES,bratwurst sausage,"Bratwurst, pork, beef, link",171622,323,27.8,14.3,2.98,Bratwurst link matches bratwurst sausage; macros consistent with cooked/raw pork-beef sausage.,pass,0.25,
YES,brioche hamburger bun,"Rolls, hamburger or hotdog, plain",172796,279,3.91,9.77,50.1,Brioche bun is a hamburger bun; generic plain bun macros are a reasonable usable match.,fail,0.25,
YES,flatbread,"Focaccia, Italian flatbread, plain",167945,249,7.89,8.77,35.8,Focaccia is a specific flatbread; macros are reasonable for a bread and it's a usable direct substitute for recipe 'flatbread'.,fail,0.25,
YES,pickled jalapeño,"Peppers, hot pickled, canned",169766,22,0.4,0.8,4.56,"Pickled jalapeño is a hot pickled canned pepper; matching food and state, macros consistent.",fail,0.25,
YES,pickled jalapeño slices,"Peppers, hot pickled, canned",169766,22,0.4,0.8,4.56,Pickled hot peppers (jalapeños) canned; matches ingredient in usable state with plausible macros,fail,0.25,
YES,boneless lamb shoulder,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, raw",174464,252,20.4,16.9,0.2,"Boneless lamb shoulder, raw lean and fat; macros consistent with fatty lamb cut.",pass,0.27,
YES,pork tenderloin,"HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",168317,110,3.8,17.2,1.82,"Branded pork tenderloin; macros match lean raw pork tenderloin, peppercorn flavoring is negligible.",fail,0.29,
YES,angel hair pasta,"Pasta, dry, enriched",169736,371,1.51,13,74.7,"Angel hair is a dry pasta shape; 'Pasta, dry, enriched' matches food and state with consistent macros.",pass,0.33,
YES,bay leaves,"Spices, bay leaf",170917,313,8.36,7.61,75,Dried bay leaf spice matches recipe usage; macros consistent with dried herb.,fail,0.33,
YES,broccoli floret,"Broccoli, flower clusters, raw",169330,28,0.35,2.98,5.06,"Broccoli flower clusters = florets, raw; macros match fresh broccoli.",pass,0.33,
YES,cilantro,"Coriander (cilantro) leaves, raw",169997,23,0.52,2.13,3.67,Cilantro matched to coriander leaves raw; macros fit fresh herb leaves.,pass,0.33,
YES,edamame,"Edamame, frozen, prepared",168411,121,5.2,11.9,8.91,Edamame matched to prepared edamame; macros are consistent with the food as used.,pass,0.33,
YES,fresh cilantro,"Coriander (cilantro) leaves, raw",169997,23,0.52,2.13,3.67,Cilantro/coriander leaves raw match exactly; macros consistent with leafy herb,pass,0.33,
YES,freshly grated nutmeg,"Spices, nutmeg, ground",171326,525,36.3,5.84,49.3,Freshly grated nutmeg is the same spice as ground nutmeg; grating vs pre-ground doesn't meaningfully change macros or density.,fail,0.33,
YES,frozen waffles,"Waffles, buttermilk, frozen, ready-to-heat",167516,273,9.22,6.58,41,Same food (frozen ready-to-heat waffles); buttermilk variety is negligible for macros.,pass,0.33,
YES,ground coriander,"Spices, coriander seed",170922,298,17.8,12.4,55,"Ground coriander is just milled coriander seed; same food, macros consistent with the spice.",fail,0.33,
YES,ground cumin,"Spices, cumin seed",170923,375,22.3,17.8,44.2,Ground cumin is just cumin seed ground; macros unchanged by grinding.,fail,0.33,
YES,jumbo pasta shells,"Pasta, dry, enriched",169736,371,1.51,13,74.7,Jumbo pasta shells are dry enriched pasta; macros match dry pasta correctly.,pass,0.33,
YES,lettuce,"Lettuce, cos or romaine, raw",169247,17,0.3,1.23,3.29,"Romaine is a common lettuce variety, raw state matches recipe use; macros consistent with leafy greens",pass,0.33,
YES,low-sodium beef broth,"Soup, beef broth, less/reduced sodium, ready to serve",172889,6,0.07,1.14,0.2,Reduced-sodium beef broth ready-to-serve matches the ingredient; macros consistent with a broth.,fail,0.33,
YES,orzo pasta,"Pasta, dry, enriched",169736,371,1.51,13,74.7,Orzo is a dry pasta; enriched dry pasta macros match how a recipe uses it.,pass,0.33,
YES,parmesan,"Cheese, parmesan, grated",171247,420,27.8,28.4,13.9,Recipe parmesan matches grated parmesan; macros consistent with parmesan cheese.,fail,0.33,
YES,penne pasta,"Pasta, dry, enriched",169736,371,1.51,13,74.7,"Penne is a pasta shape; dry enriched pasta matches how recipes use it, macros consistent with dry pasta.",pass,0.33,
YES,roasted cashews,"Nuts, cashew nuts, dry roasted, with salt added",169421,574,46.4,15.3,32.7,Dry roasted cashews match roasted cashews; macros consistent with nuts.,fail,0.33,
YES,salmon fillet,"Fish, salmon, chinook, raw",173688,179,10.4,19.9,0,"Salmon fillet matched to raw chinook salmon; same food in usable raw state, macros plausible.",fail,0.33,
YES,salmon fillets,"Fish, salmon, chinook, raw",173688,179,10.4,19.9,0,Raw salmon (chinook species) matches recipe's raw salmon fillets; macros are plausible for salmon.,fail,0.33,
YES,salsa verde,"Sauce, salsa, verde, ready-to-serve",171824,38,0.89,1.13,6.36,Salsa verde matched to ready-to-serve salsa verde sauce; macros consistent with a tomatillo-based sauce.,fail,0.33,
YES,zucchini,"Squash, zucchini, baby, raw",168565,21,0.4,2.71,3.11,"Baby zucchini is the same food as zucchini, raw; macros match a low-cal squash.",fail,0.33,
YES,bone-in pork chops,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",168238,170,9.03,20.7,0,"Same food (bone-in pork loin chops, raw); macros consistent with lean-and-fat raw pork.",pass,0.38,
YES,corn on the cob,"Corn, sweet, white, frozen, kernels on cob, unprepared",169365,98,0.78,3.28,23.5,"Corn on cob matched to sweet corn kernels on cob; macros consistent with corn, usable state.",pass,0.38,
YES,deli turkey breast,"Turkey breast, low salt, prepackaged or deli, luncheon meat",174572,109,0.83,21.8,3.51,Deli turkey breast matches prepackaged/deli turkey luncheon meat; macros consistent with lean deli turkey.,pass,0.38,
YES,fresh corn on the cob,"Corn, sweet, white, frozen, kernels on cob, unprepared",169365,98,0.78,3.28,23.5,"Corn on the cob, kernels; frozen vs fresh raw is negligible for macros/density and state is usable.",pass,0.38,
YES,80/20 ground beef,"Beef, ground, 80% lean meat / 20% fat, raw",174036,254,20,17.2,0,"Exact match: 80/20 ground beef, raw; macros consistent with 20% fat beef.",pass,0.4,
YES,beef stock,"Soup, stock, beef, home-prepared",172883,13,0.09,1.97,1.2,Beef stock matched to home-prepared beef stock; low-cal watery macros fit a stock exactly.,fail,0.4,
YES,bone-in pork shoulder,"Pork, fresh, shoulder, whole, separable lean and fat, raw",167843,236,18,17.2,0,"Same food (pork shoulder, raw, lean and fat); bone-in vs whole cut doesn't change per-100g macros.",pass,0.4,
YES,chicken stock,"Soup, stock, chicken, home-prepared",172884,36,1.2,2.52,3.53,Chicken stock matched to chicken stock; macros consistent with a light stock.,fail,0.4,
YES,cooking spray,"Oil, PAM cooking spray, original",171430,792,78.7,0.26,20.7,PAM cooking spray matches 'cooking spray'; macros consistent with a spray oil product.,fail,0.4,
YES,corn tortilla,"Tortilla, blue corn, Sakwavikaviki (Hopi)",169829,276,1.4,7.83,58.1,Blue corn tortilla is a corn tortilla; macros match a dry-ish flatbread and represent usable state.,pass,0.4,
YES,corn tortillas,"Tortilla, blue corn, Sakwavikaviki (Hopi)",169829,276,1.4,7.83,58.1,Blue corn tortilla is a corn tortilla; macros match dry tortilla and color/variety doesn't move macros.,pass,0.4,
