row_kind,reason,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason,signature,straddles_processing,contradiction_detail,hans_verdict,hans_notes
RESIDUE,contradiction_flagged,allium,medium yellow onion,"yellow onions, thinly sliced",SUBSUMES,medium,,"yellow onions, thinly sliced",,,,Second name is size-unspecified yellow onion; first fixes size.,medium|sliced|thinly,false,"SUBSUMES declares ""yellow onions, thinly sliced"" generic over ""medium yellow onion"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,confidence_medium,allium,onion,pearl onion,SUBSUMES,medium,,onion,,,,'onion' is bare generic; pearl onion is a specific small variety.,pearl,false,,,
RESIDUE,contradiction_flagged,allium,onion,red onion,SUBSUMES,high,,onion,,,,Bare generic 'onion' is satisfied by red onion; the reverse is not true.,red,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES",,
RESIDUE,contradiction_flagged,allium,onion,white onion,SUBSUMES,high,,onion,,,,Bare generic 'onion' is satisfied by white onion.,white,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES",,
RESIDUE,contradiction_flagged,allium,onion,yellow onion,SUBSUMES,high,,onion,,,,Bare generic 'onion' is satisfied by yellow onion.,yellow,false,"same base, color difference, received DISTINCT + SUBSUMES — green onions ~ onion [green] => DISTINCT; onion ~ red onion [red] => SUBSUMES; onion ~ white onion [white] => SUBSUMES; onion ~ yellow onion [yellow] => SUBSUMES",,
RESIDUE,contradiction_flagged,oil_fat,avocado oil,neutral oil (such as avocado or canola oil),SUBSUMES,medium,,neutral oil (such as avocado or canola oil),,,,"""Neutral oil (such as avocado or canola oil)"" is the bare generic category with illustrative examples; avocado oil is one specific bottle that satisfies it. A recipe calling for avocado oil is not satisfied by just any neutral oil.",canola|neutral,false,"SUBSUMES declares ""neutral oil (such as avocado or canola oil)"" generic over ""avocado oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,avocado oil,neutral oil (such as avocado or vegetable),SUBSUMES,medium,,neutral oil (such as avocado or vegetable),,,,"The second name is the generic ""neutral oil"" with non-restrictive examples; avocado oil is a specific member of that category.",neutral|vegetable,false,"SUBSUMES declares ""neutral oil (such as avocado or vegetable)"" generic over ""avocado oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,avocado oil,neutral oil (such as grapeseed or avocado),SUBSUMES,medium,,neutral oil (such as grapeseed or avocado),,,,Second name is the generic neutral-oil category (examples only); avocado oil is one specific product within it.,grapeseed|neutral,false,"SUBSUMES declares ""neutral oil (such as grapeseed or avocado)"" generic over ""avocado oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,avocado oil,neutral oil (such as vegetable or avocado oil),SUBSUMES,medium,,neutral oil (such as vegetable or avocado oil),,,,"Second name is generic neutral oil with examples; avocado oil is a specific kind that satisfies it, but not the reverse.",neutral|vegetable,false,"SUBSUMES declares ""neutral oil (such as vegetable or avocado oil)"" generic over ""avocado oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,confidence_medium,oil_fat,canned tuna in olive oil,olive oil,COMPONENT,medium,canned tuna in olive oil,,2,tbsp,true,One can of tuna packed in olive oil yields usable olive oil at no extra purchase; the tuna remains. Analogous to pepperoncini ~ pepperoncini brine.,canned|tuna,true,,,
RESIDUE,confidence_medium,oil_fat,dark sesame oil,sesame oil,SUBSUMES,medium,,sesame oil,,,,"""Sesame oil"" bare is the unqualified generic (light or toasted); ""dark sesame oil"" fixes the toasted style. Generic is the second name.",dark,false,,,
RESIDUE,contradiction_flagged,oil_fat,lard or neutral oil,neutral oil,SUBSUMES,medium,,lard or neutral oil,,,,"""Lard or neutral oil"" is the broader either/or demand, satisfied by neutral oil; a demand for neutral oil is not satisfied by lard. First name is the generic.",lard,false,"SUBSUMES declares ""lard or neutral oil"" generic over ""neutral oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,lard,lard or neutral oil,SUBSUMES,medium,,lard or neutral oil,,,,The second name is the broader either/or demand; lard is one specific way to satisfy it.,neutral|oil,false,"SUBSUMES declares ""lard or neutral oil"" generic over ""lard"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,lard,lard or unsalted butter,SUBSUMES,medium,,lard or unsalted butter,,,,"""Lard or unsalted butter"" is the broader demand satisfied by lard; a lard requirement is not met by butter. Second name is generic.",butter|unsalted,false,"SUBSUMES declares ""lard or unsalted butter"" generic over ""lard"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as avocado or canola oil),neutral oil (such as canola),SYNONYM,medium,,,,,,"Both are the generic neutral oil; the ""such as"" lists are non-restrictive examples, so one purchase serves both.",avocado,false,signature [avocado] received SUBSUMES + SYNONYM — neutral oil (such as avocado or canola oil) ~ neutral oil (such as canola) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or avocado oil) => SYNONYM; neutral oil (such as vegetable or avocado oil) ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as avocado or vegetable),neutral oil (such as vegetable oil),SYNONYM,medium,,,,,,Both are generic neutral oil with illustrative example lists; same purchase.,avocado,false,signature [avocado] received SUBSUMES + SYNONYM — neutral oil (such as avocado or canola oil) ~ neutral oil (such as canola) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or avocado oil) => SYNONYM; neutral oil (such as vegetable or avocado oil) ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as avocado or vegetable),neutral oil (such as vegetable or avocado oil),SYNONYM,high,,,,,,"Same generic neutral oil, same example set in different word order.",(identical),false,,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as avocado or vegetable),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as avocado or vegetable),,,,"First is the generic neutral-oil category (examples only); ""neutral vegetable oil"" names a specific bottle of vegetable oil.",avocado,false,"signature [avocado] received SUBSUMES + SYNONYM — neutral oil (such as avocado or canola oil) ~ neutral oil (such as canola) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or avocado oil) => SYNONYM; neutral oil (such as vegetable or avocado oil) ~ neutral vegetable oil => SUBSUMES | SUBSUMES declares ""neutral oil (such as avocado or vegetable)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as avocado or vegetable),vegetable oil,SUBSUMES,medium,,neutral oil (such as avocado or vegetable),,,,"First is the generic neutral oil; vegetable oil is one specific product that satisfies it, not the reverse.",avocado|neutral,false,"SUBSUMES declares ""neutral oil (such as avocado or vegetable)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as canola or grapeseed),neutral oil (such as canola),SYNONYM,medium,,,,,,Both are generic neutral oil with non-restrictive examples; one bottle serves both.,grapeseed,false,,,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as canola or grapeseed),neutral oil (such as grapeseed or canola),SYNONYM,high,,,,,,Identical example set in reversed order; same generic neutral oil.,(identical),false,,,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as canola),neutral oil (such as grapeseed or canola),SYNONYM,medium,,,,,,Both resolve to generic neutral oil; the parenthetical suggestions do not change the purchase.,grapeseed,false,,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as canola),neutral oil (such as vegetable or canola oil),SYNONYM,medium,,,,,,Both are the generic neutral oil with example lists; same purchase.,vegetable,false,signature [vegetable] received SUBSUMES + SYNONYM — neutral oil (such as canola) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as canola) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as canola) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as canola),neutral oil (such as vegetable or canola),SYNONYM,medium,,,,,,Both are generic neutral oil; parenthetical examples are illustrative only.,vegetable,false,signature [vegetable] received SUBSUMES + SYNONYM — neutral oil (such as canola) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as canola) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as canola) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as canola),neutral oil (vegetable or canola),SYNONYM,medium,,,,,,Both are generic neutral oil with suggested examples; one bottle satisfies both.,vegetable,false,signature [vegetable] received SUBSUMES + SYNONYM — neutral oil (such as canola) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as canola) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as canola) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral oil (such as vegetable or avocado oil),SYNONYM,medium,,,,,,Both are generic neutral oil with overlapping illustrative examples.,avocado,false,signature [avocado] received SUBSUMES + SYNONYM — neutral oil (such as avocado or canola oil) ~ neutral oil (such as canola) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or avocado oil) => SYNONYM; neutral oil (such as vegetable or avocado oil) ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral oil (such as vegetable or canola oil),SYNONYM,medium,,,,,,Both are generic neutral oil; example lists do not alter the shelf item.,canola,false,signature [canola] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil (such as vegetable or canola oil) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil (vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil ~ neutral oil (such as canola) => SYNONYM,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral oil (such as vegetable or canola),SYNONYM,medium,,,,,,Both are generic neutral oil with illustrative examples; same purchase.,canola,false,signature [canola] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil (such as vegetable or canola oil) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil (vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil ~ neutral oil (such as canola) => SYNONYM,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral oil (such as vegetable or peanut oil),SYNONYM,medium,,,,,,Both are generic neutral oil with non-restrictive example lists.,peanut,false,signature [peanut] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or peanut oil) => SYNONYM; neutral oil (such as vegetable or peanut oil) ~ neutral vegetable oil => SUBSUMES,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral oil (vegetable or canola),SYNONYM,medium,,,,,,Both are generic neutral oil; wording of the parenthetical differs only.,canola,false,signature [canola] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil (such as vegetable or canola oil) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil (vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil ~ neutral oil (such as canola) => SYNONYM,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable oil),,,,First is generic neutral oil (example only); the second names vegetable oil specifically.,(identical),false,"SUBSUMES declares ""neutral oil (such as vegetable oil)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable oil),vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable oil),,,,First is the generic neutral-oil category; vegetable oil is a specific product satisfying it.,neutral,false,"signature [neutral] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ vegetable oil => SUBSUMES; neutral vegetable oil ~ vegetable oil => SYNONYM | same base, descriptor difference, received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ vegetable oil [neutral] => SUBSUMES; neutral vegetable oil ~ vegetable oil [neutral] => SYNONYM | SUBSUMES declares ""neutral oil (such as vegetable oil)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or avocado oil),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or avocado oil),,,,"First is generic neutral oil with examples; ""neutral vegetable oil"" is the specific bottle.",avocado,false,"signature [avocado] received SUBSUMES + SYNONYM — neutral oil (such as avocado or canola oil) ~ neutral oil (such as canola) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral oil (such as vegetable oil) => SYNONYM; neutral oil (such as avocado or vegetable) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or avocado oil) => SYNONYM; neutral oil (such as vegetable or avocado oil) ~ neutral vegetable oil => SUBSUMES | SUBSUMES declares ""neutral oil (such as vegetable or avocado oil)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or avocado oil),vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or avocado oil),,,,Generic neutral oil first; vegetable oil is one specific kind of it.,avocado|neutral,false,"SUBSUMES declares ""neutral oil (such as vegetable or avocado oil)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as vegetable or canola oil),neutral oil (such as vegetable or canola),SYNONYM,high,,,,,,"Same generic neutral oil with the same example list, differing only by the word ""oil"".",(identical),false,,,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as vegetable or canola oil),neutral oil (vegetable or canola),SYNONYM,high,,,,,,Same generic neutral oil and same examples; phrasing differs only.,(identical),false,,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or canola oil),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or canola oil),,,,First is generic neutral oil; second names vegetable oil specifically.,canola,false,"signature [canola] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil (such as vegetable or canola oil) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil (vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil ~ neutral oil (such as canola) => SYNONYM | SUBSUMES declares ""neutral oil (such as vegetable or canola oil)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or canola oil),vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or canola oil),,,,Generic neutral oil first; vegetable oil is a specific member of the category.,canola|neutral,false,"SUBSUMES declares ""neutral oil (such as vegetable or canola oil)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,synonym_on_disjunction_row,oil_fat,neutral oil (such as vegetable or canola),neutral oil (vegetable or canola),SYNONYM,high,,,,,,Identical generic with identical parenthetical content.,(identical),false,,,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or canola),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or canola),,,,First is generic neutral oil; the second is specifically vegetable oil.,canola,false,"signature [canola] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola oil) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or canola) => SYNONYM; neutral oil (such as vegetable oil) ~ neutral oil (vegetable or canola) => SYNONYM; neutral oil (such as vegetable or canola oil) ~ neutral vegetable oil => SUBSUMES; neutral oil (such as vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil (vegetable or canola) ~ neutral vegetable oil => SUBSUMES; neutral oil ~ neutral oil (such as canola) => SYNONYM | SUBSUMES declares ""neutral oil (such as vegetable or canola)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or canola),vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or canola),,,,Generic neutral oil first; vegetable oil is one specific kind.,canola|neutral,false,"SUBSUMES declares ""neutral oil (such as vegetable or canola)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or peanut oil),neutral vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or peanut oil),,,,First is generic neutral oil with examples; second names vegetable oil specifically.,peanut,false,"signature [peanut] received SUBSUMES + SYNONYM — neutral oil (such as vegetable oil) ~ neutral oil (such as vegetable or peanut oil) => SYNONYM; neutral oil (such as vegetable or peanut oil) ~ neutral vegetable oil => SUBSUMES | SUBSUMES declares ""neutral oil (such as vegetable or peanut oil)"" generic over ""neutral vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
RESIDUE,contradiction_flagged,oil_fat,neutral oil (such as vegetable or peanut oil),vegetable oil,SUBSUMES,medium,,neutral oil (such as vegetable or peanut oil),,,,Generic neutral oil first; vegetable oil is a specific product within it.,neutral|peanut,false,"SUBSUMES declares ""neutral oil (such as vegetable or peanut oil)"" generic over ""vegetable oil"", but the declared generic is not the less-qualified name — two specifics are DISTINCT, never SUBSUMES (D-WS9-202)",,
