mealId,title,serv,curCal,curP,curC,curF,newCal,newP,newC,newF,dCal,grounded%,basisTag,sanityFlags
9aaf45f6-3d54-4ef4-afbd-84ae5d00dca8,Herb-Crusted Baked Chicken Breast with Roasted Garlic Mashed Potatoes & Blistered Green Beans,2,695,50,53,30,850,48,56.9,44.5,155,88,LEGUME/GRAIN,
67b192e0-33a0-4ba2-9ee6-9722bb9d5b54,Classic Cheeseburger with Crispy Oven Fries & Coleslaw,2,1110,43,90,62,1410,39.7,70.4,98.2,300,85,,
53ba3c2e-3479-4370-a0cc-caa913200a97,Spaghetti with Hearty Beef Meat Sauce,4,795,43,77,31,785,48.4,68.9,32.9,-10,91,,
6e0d54d1-80b7-49da-bcb8-751a91663c1b,Spaghetti and Beef-Pork Meatballs in San Marzano Tomato Sauce,4,925,46,80,42,1060,64,96.8,45.2,135,79,LEGUME/GRAIN,
1eafc755-8c59-4b40-b7c4-47120bf78584,Smoky Beef Chili with Cornbread Crumble,2,920,50,70,47,945,51.4,70.9,43.9,25,85,LEGUME/GRAIN,
cce515c8-b82a-4086-b66e-14221ad51101,Crispy Chicken Parmesan with Spaghetti and Garlic Green Beans,4,920,60,87,35,1180,77.2,101.7,41.7,260,87,LEGUME/GRAIN,
8c3cb0aa-71a6-415e-bf8f-a00134c03542,Homemade Pepperoni Pizza with Garlic Herb Salad,4,825,31,79,40,1250,56.3,112.3,60.2,425,73,,
bc3e0d2a-b777-493b-8fd8-bf063ce352f1,Baked Mac and Cheese with Crispy Breadcrumb Crust & Roasted Broccoli,2,895,38,81,46,960,45.1,69.8,51.7,65,92,LEGUME/GRAIN,
26abd41a-3e69-4395-bae5-2a67ccabf014,Beef and Broccoli Stir-Fry with Steamed Jasmine Rice,2,670,42,73,23,790,37.4,87.9,27.6,120,100,LEGUME/GRAIN,
3e2e0912-06e2-4653-aa2f-8915f05ad82b,Classic Pot Roast with Root Vegetables and Buttery Mashed Potatoes,4,825,48,53,44,935,58.1,53.6,46.7,110,75,,
8b34a859-56b4-4ad1-a49e-0f0ba2c2c0b9,Sheet-Pan Chicken Fajitas with Cilantro-Lime Rice and Avocado Crema,4,870,49,90,34,1160,60.6,121,42.7,290,90,LEGUME/GRAIN,
a63262b8-af63-4605-bac4-dbe5a2acec9a,Chicken and Vegetable Stir-Fry with Jasmine Rice,2,650,47,75,17.5,660,43.1,83.6,17.3,10,94,LEGUME/GRAIN,
eae97408-0da5-4190-a945-c74bad1a9120,Baked Lemon-Herb Salmon with Garlic Roasted Asparagus and Herbed Couscous,2,690,49,48,35,600,34.9,49,26.7,-90,86,,
e3702c33-3d1b-4f9f-981f-3cfdb2e043b1,Buttermilk Fried Chicken with Honey-Glazed Corn on the Cob & Creamy Coleslaw,4,930,47,68,53,1650,55,96.5,110.9,720,89,,MEAL:calories/serving 1650 > 1500 (implausible for one dish)
20f75a0d-f26d-455b-bf59-63a10cf6f232,Hearty Chicken Noodle Soup with Crusty Bread,4,605,44,67,16,845,68.1,165.5,24.7,240,87,LEGUME/GRAIN,Atwater 681 kcal vs stated 340 kcal (>40% off)
e5469902-c2c0-4d9d-bc5f-04064120be45,Grilled Chicken Breast with Roasted Garlic Potatoes and Steamed Broccoli,4,550,49,40,21,570,47.9,39.1,23.6,20,83,,
aefc64f2-7af6-4fdc-a775-fd1c4301c6b8,Classic Beef Meatloaf with Garlic Mashed Potatoes & Roasted Green Beans,2,830,43,60,46,1000,41.4,82,51.7,170,88,LEGUME/GRAIN,
4c1a206d-d9eb-4ab4-9cbf-b2d5f9166f5e,Herb-Roasted Whole Chicken with Roasted Garlic Pan Jus,2,935,57,44,58,1245,64.2,40.9,87.5,310,83,LEGUME/GRAIN,
edc65b17-3caf-4103-8e4d-922da3549169,Hearty Beef Stew with Root Vegetables,2,705,44,72,22,655,44.2,54,20,-50,100,LEGUME/GRAIN,
