row_kind,family,name_a,name_b,residue_reason,first_label,first_confidence,first_reason,arbiter_label,arbiter_confidence,arbiter_reason,base_is,yield_qty,yield_unit,co_harvestable,contradiction_detail,hans_verdict,hans_notes
SPOTCHECK,bean_legume,canned pinto beans,dried pinto beans,auto_accepted,DISTINCT,high,Canned vs dried pinto beans are two different products.,DISTINCT,high,"Canned (cooked, in brine) and dried pinto beans are two different products on different shelves; a shopper with one must still buy the other.",,,,,,,
SPOTCHECK,pork,bone-in pork chops,"bone-in pork chops, about 1-inch thick",auto_accepted,SUBSUMES,high,Bare name is unspecified on thickness; 1-inch fixes it.,SUBSUMES,high,Bare 'bone-in pork chops' is unspecified on thickness; 'about 1-inch thick' is a specific kind that satisfies it.,,,,,,,
SPOTCHECK,tomato,canned whole peeled tomatoes,diced tomatoes,auto_accepted,DISTINCT,high,Whole peeled can vs diced can.,DISTINCT,high,Whole peeled can versus diced can: different products on the shelf.,,,,,,,
SPOTCHECK,poultry,boneless skinless turkey breast,cooked turkey breast,auto_accepted,DISTINCT,high,Raw turkey breast versus cooked turkey breast: two different purchases.,DISTINCT,high,Raw boneless skinless turkey breast versus already-cooked turkey breast are two different purchases; a cook with one must still obtain the other.,,,,,,,
SPOTCHECK,chili,canned diced green chiles,canned diced tomatoes with green chiles,auto_accepted,DISTINCT,high,A can of green chiles and a can of tomatoes-with-chiles are two different cans.,DISTINCT,high,A can of green chiles and a can of tomatoes with green chiles are two different products.,,,,,,,
SPOTCHECK,pepper_corn,green bell pepper,red bell pepper,auto_accepted,DISTINCT,high,Two specific colours; two purchases.,DISTINCT,high,Two specific colours of bell pepper; a shopper with one must still buy the other.,,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,fire-roasted diced tomatoes,auto_accepted,SYNONYM,high,Same can; 'canned' is implied.,SYNONYM,high,Fire-roasted diced tomatoes are only sold canned; 'canned' is implied. Same product.,,,,,,,
SPOTCHECK,flour_starch,cornmeal,yellow cornmeal,auto_accepted,SUBSUMES,high,Bare 'cornmeal' subsumes the colour-specified 'yellow cornmeal'. Generic is the first name.,SUBSUMES,high,"Bare 'cornmeal' leaves colour open (white, yellow, blue); 'yellow cornmeal' specifies it. Generic is the first name.",,,,,,,
SPOTCHECK,tomato,canned san marzano whole peeled tomatoes,whole peeled san marzano tomatoes,auto_accepted,SYNONYM,high,"Same can, words reordered.",SYNONYM,high,"Identical can, modifiers reordered.",,,,,,,
SPOTCHECK,tomato,tomato,tomato passata,auto_accepted,DISTINCT,high,"Passata is a bottled product, a separate purchase.",DISTINCT,high,"Passata is a bottled sieved tomato product bought as such, not obtained from buying a fresh tomato.",,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,crushed fire-roasted tomatoes,auto_accepted,DISTINCT,high,Diced vs crushed: two different cans.,DISTINCT,high,Diced versus crushed: two different cans; cut is a product difference.,,,,,,,
SPOTCHECK,sugar,palm sugar,sugar,auto_accepted,DISTINCT,high,"Palm sugar is a distinct product from the default granulated white sugar denoted by ""sugar"".",DISTINCT,high,"Palm sugar is a separate product (palm sap sugar, sold in cakes or granules) from default granulated white sugar; a shopper with one must buy the other.",,,,,,,
SPOTCHECK,allium,garlic head,head of garlic,auto_accepted,SYNONYM,high,Word-order variants of the same purchase.,SYNONYM,high,Pure word-order variants of the same purchase.,,,,,,,
SPOTCHECK,bean_legume,canned white cannellini beans,cannellini beans,auto_accepted,SUBSUMES,high,"'white' is redundant for cannellini, so the only real qualifier is 'canned'; the bare second name is the generic.",SUBSUMES,high,"'White' is redundant for cannellini, so the only real qualifier is 'canned'; the bare second name is the generic satisfied by the canned specific.",,,,,,,
SPOTCHECK,chili,canned green chiles,dried whole red chilies,auto_accepted,DISTINCT,high,Canned green vs dried whole red chiles: separate purchases.,DISTINCT,high,Canned green chiles and dried whole red chiles are unrelated purchases.,,,,,,,
SPOTCHECK,beef,bone-in ribeye steaks,"bone-in ribeye steaks, about 1.25 inches thick",auto_accepted,SUBSUMES,high,"Thickness axis unspecified in the first name, specified in the second.",SUBSUMES,high,Thickness axis is open in the first name and pinned in the second; matches the other bone-in ribeye thickness pairs in this family.,,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,canned san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed can vs whole peeled can: two different cans.,DISTINCT,high,Crushed can versus whole peeled can: two different products.,,,,,,,
SPOTCHECK,rice_grain,rice noodles,rice vermicelli noodles,auto_accepted,SUBSUMES,high,'rice noodles' is the bare generic; vermicelli is a specific thin kind.,SUBSUMES,high,'rice noodles' is the bare generic covering all shapes; rice vermicelli is a specific thin round kind of it.,,,,,,,
SPOTCHECK,pork,bone-in pork chops,bone-in thick-cut pork chops,auto_accepted,SUBSUMES,high,Bare name is unspecified on thickness; thick-cut is a specific kind.,SUBSUMES,high,Bare 'bone-in pork chops' leaves thickness open; thick-cut is a specific kind of it.,,,,,,,
SPOTCHECK,allium,medium yellow onion,yellow onion,auto_accepted,DISTINCT,high,"Bare 'yellow onion' already means the standard medium bulb, a sibling size, not a parent.",SYNONYM,medium,"If bare 'yellow onion' denotes the standard medium bulb (as the family's large-vs-bare DISTINCT verdict assumes), then 'medium yellow onion' names exactly that same purchase; DISTINCT here would contradict that premise.",,,,,,,
SPOTCHECK,chili,red chili,red fresno chiles,auto_accepted,SUBSUMES,high,Fresno is a specific variety of red chile. Generic is first.,SUBSUMES,high,Fresno is a specific variety of fresh red chile. Generic is the first name.,,,,,,,
SPOTCHECK,seafood,skin-on salmon fillets,skinless salmon fillet,auto_accepted,DISTINCT,high,Two opposite specifics on the skin axis; a shopper needing one is not served by the other.,DISTINCT,high,Two opposite specifics on the skin axis; a shopper holding one must buy the other.,,,,,,,
SPOTCHECK,wine,red wine,white wine,auto_accepted,DISTINCT,high,Two different wines specified on the same colour axis; two bottles.,DISTINCT,high,Red and white wine are two separate bottles specified on the same colour axis; owning one does not satisfy a need for the other. Consistent with the rest of the family's colour-axis verdicts.,,,,,,,
SPOTCHECK,greens,arugula,fresh arugula,auto_accepted,SYNONYM,high,"Arugula is sold fresh by default; ""fresh"" adds no distinguishing purchase decision.",SYNONYM,high,"Arugula is a fresh produce item by default; the modifier ""fresh"" identifies the same bunch or bag.",,,,,,,
SPOTCHECK,chili,fresh red chili,fresh red thai chilies,auto_accepted,SUBSUMES,high,Thai chile is a specific variety of fresh red chile. Generic is first.,SUBSUMES,high,Thai chile is a specific variety of fresh red chile. Generic is the first name.,,,,,,,
SPOTCHECK,chili,dried red chili flakes,red chili,auto_accepted,DISTINCT,high,Whole chile vs crushed dried flakes: separate purchases.,DISTINCT,high,Whole fresh chile versus a jar of crushed dried flakes: separate purchases.,,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole peeled: two different cans.,DISTINCT,high,Crushed versus whole peeled: two different cans.,,,,,,,
SPOTCHECK,tomato,crushed tomatoes,fire-roasted crushed tomatoes,auto_accepted,SUBSUMES,high,First is the bare generic; fire-roasted is a specific kind.,SUBSUMES,high,"'crushed tomatoes' is the bare generic; fire-roasted is a specific treatment of the same crushed can, consistent with diced tomatoes ~ fire-roasted diced tomatoes in this family.",,,,,,,
SPOTCHECK,pork,hot italian sausage,mild italian sausage,auto_accepted,DISTINCT,high,Hot and mild are two sibling products on the heat axis.,DISTINCT,high,Hot and mild are two sibling specifics on the heat axis; neither satisfies the other.,,,,,,,
SPOTCHECK,cheese,shredded cheddar cheese,shredded sharp cheddar cheese,auto_accepted,SUBSUMES,high,"Within shredded bags, 'shredded cheddar' leaves sharpness open and sharp fills it in.",SUBSUMES,high,"Both are shredded bags; 'shredded cheddar cheese' leaves sharpness open and the sharp bag satisfies it, mirroring 'cheddar cheese ~ sharp cheddar cheese'.",,,,,,,
SPOTCHECK,cheese,mozzarella cheese,shredded low-moisture mozzarella cheese,auto_accepted,DISTINCT,high,Block mozzarella versus a bag of shredded low-moisture mozzarella.,DISTINCT,high,Block mozzarella versus a bag of shreds — a form/packaging difference the family treats as a product difference everywhere else.,,,,,,,
SPOTCHECK,allium,garlic,garlic powder,auto_accepted,DISTINCT,high,Dried ground spice versus fresh bulb: separate purchases.,DISTINCT,high,Dried ground spice jar versus fresh bulb: separate purchases in separate aisles.,,,,,,,
SPOTCHECK,sugar,dark brown sugar,white sugar,auto_accepted,DISTINCT,high,"Different products, two bags.",DISTINCT,high,Dark brown sugar and white granulated sugar are two different bags on the shelf.,,,,,,,
SPOTCHECK,cheese,provolone,provolone cheese slices,auto_accepted,DISTINCT,high,Provolone block versus pre-sliced provolone: separate purchases.,DISTINCT,high,"Deli slices versus a provolone block are separate purchases, matching 'provolone cheese ~ provolone cheese slices' and the swiss slices pair.",,,,,,,
SPOTCHECK,tomato,canned crushed tomatoes,crushed tomatoes,auto_accepted,SYNONYM,high,Crushed tomatoes are sold canned; same product.,SYNONYM,high,Crushed tomatoes are sold canned; 'canned' is implicit. One purchase.,,,,,,,
SPOTCHECK,cheese,oaxacan cheese,oaxacan cheese (quesillo),auto_accepted,SYNONYM,high,"Quesillo is the same cheese, given parenthetically.",SYNONYM,high,"Quesillo is simply the Mexican name for Oaxacan cheese, given parenthetically; one product.",,,,,,,
SPOTCHECK,seafood,large shell-on shrimp (16/20 count),shrimp,auto_accepted,SUBSUMES,high,Bare 'shrimp' is the generic; large shell-on 16/20 is a specific kind.,SUBSUMES,high,"Bare 'shrimp' is the family generic; large shell-on 16/20 is a specific kind that satisfies it, not the reverse.",,,,,,,
SPOTCHECK,root_veg,red potatoes,sweet potatoes,auto_accepted,DISTINCT,high,Two different vegetables.,DISTINCT,high,Sweet potatoes are a different species and a different shelf item from red potatoes; owning one does not supply the other.,,,,,,,
SPOTCHECK,flour_starch,large flour tortillas,small flour tortillas,auto_accepted,DISTINCT,high,Opposite size tiers — burrito size versus taquito size; two purchases.,DISTINCT,high,Opposite size tiers — burrito-size versus taco-size tortillas; a shopper with one must buy the other.,,,,,,,
SPOTCHECK,pepper_corn,"black pepper, ground",ground black pepper,auto_accepted,SYNONYM,high,"Same product, word order only.",SYNONYM,high,"Identical product, differing only in word order of the same qualifier.",,,,,,,
SPOTCHECK,greens,lettuce,romaine lettuce,auto_accepted,SUBSUMES,high,"Romaine is a specific variety of the generic ""lettuce"" (first name).",SUBSUMES,high,"Romaine is one specific variety of the bare generic ""lettuce"" (first name); a recipe calling for lettuce is satisfied by romaine, not the reverse.",,,,,,,
SPOTCHECK,allium,large yellow onion,red onion,auto_accepted,DISTINCT,high,Yellow versus red variety; both qualified.,DISTINCT,high,Two specifics qualified on different axes (size/variety vs colour); neither subsumes the other.,,,,,,,
SPOTCHECK,soy_sauce,dark soy sauce,low-sodium soy sauce,auto_accepted,DISTINCT,high,"Both names are qualified, and on different axes (style/colour vs sodium level). Neither covers the other; a shopper with one must buy the other.",DISTINCT,high,"Two qualified names on different axes (style/colour vs sodium level), and materially different products; owning one does not remove the need to buy the other.",,,,,,,
SPOTCHECK,chili,canned diced green chiles,dried whole red chilies,auto_accepted,DISTINCT,high,Canned green vs dried whole red chiles are unrelated purchases.,DISTINCT,high,Canned green chiles and dried whole red chiles are entirely different products.,,,,,,,
SPOTCHECK,tomato,fresh tomatoes,whole canned tomatoes,auto_accepted,DISTINCT,high,Fresh produce vs a can.,DISTINCT,high,Fresh produce versus a can: separate purchases.,,,,,,,
SPOTCHECK,kimchi,kimchi,kimchi juice,auto_accepted,COMPONENT,high,"Kimchi juice is the liquid from the same jar of kimchi — analogous to kimchi brine, so labeled the same way.",COMPONENT,high,"You buy one jar of kimchi; the juice is the liquid poured or pressed off the same jar, exactly parallel to the family's high-confidence ""kimchi ~ kimchi brine"" COMPONENT verdict. Draining juice leaves the cabbage usable, so the derivation is co-harvestable.",kimchi,0.25,cup,true,,,
SPOTCHECK,pork,andouille smoked sausage,smoked sausage,auto_accepted,SUBSUMES,high,"""Smoked sausage"" is the bare generic; andouille is one specific kind of it. Second name is the generic.",SUBSUMES,high,'Smoked sausage' is the bare generic; andouille is one specific smoked sausage that satisfies it.,,,,,,,
SPOTCHECK,cheese,shredded low-moisture whole-milk mozzarella,whole milk mozzarella,auto_accepted,DISTINCT,high,Pre-shredded bag versus a whole-milk mozzarella block.,DISTINCT,high,A pre-shredded bag versus a whole-milk mozzarella block; the shredded/block split is DISTINCT throughout this family.,,,,,,,
SPOTCHECK,herb,fresh mint,fresh mint leaves,auto_accepted,COMPONENT,high,Leaves only discards the mint stems from the purchased bunch.,COMPONENT,high,"You buy the mint bunch and strip the leaves; the stems remain part of the same purchase, matching every other fresh-herb ~ fresh-herb-leaves pair in this family.",fresh mint,1.5,cup,true,,,
SPOTCHECK,tomato,condensed tomato soup,tomato,auto_accepted,DISTINCT,high,A can of soup is a separate purchase from a tomato.,DISTINCT,high,A can of condensed soup is a wholly separate purchase from a fresh tomato.,,,,,,,
SPOTCHECK,pork,bone-in pork chops,"bone-in pork chops, about 1 inch thick",auto_accepted,SUBSUMES,high,"Bare ""bone-in pork chops"" is unspecified on thickness; 1-inch is a specific kind.",SUBSUMES,high,Bare 'bone-in pork chops' is unspecified on thickness; 'about 1 inch thick' fixes it.,,,,,,,
SPOTCHECK,tomato,crushed fire-roasted tomatoes,tomato,auto_accepted,DISTINCT,high,Canned fire-roasted product vs fresh tomato.,DISTINCT,high,Canned fire-roasted crushed product versus fresh tomato.,,,,,,,
SPOTCHECK,root_veg,carrots,frozen peas and carrots,auto_accepted,DISTINCT,high,A frozen mixed-vegetable bag is a separate purchase from fresh carrots.,DISTINCT,high,"A frozen pea-and-carrot mixed bag is its own product; a shopper with fresh carrots still has to buy it, and it is not a derived part of a carrot.",,,,,,,
SPOTCHECK,tomato,canned san marzano crushed tomatoes,canned whole san marzano tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole: two different cans.,DISTINCT,high,Crushed versus whole: two different cans of San Marzanos.,,,,,,,
