row_kind,family,name_a,name_b,residue_reason,first_label,first_confidence,first_reason,arbiter_label,arbiter_confidence,arbiter_reason,base_is,yield_qty,yield_unit,co_harvestable,contradiction_detail,hans_verdict,hans_notes
SPOTCHECK,bean_legume,canned pinto beans,dried pinto beans,auto_accepted,DISTINCT,high,Canned versus dried pinto beans: two separate purchases.,DISTINCT,high,Canned versus dried pinto beans are two separate purchases; processing/packaging state is a product difference.,,,,,,,
SPOTCHECK,pork,bone-in pork chops,"bone-in pork chops, about 1-inch thick",auto_accepted,SUBSUMES,high,Bare generic on thickness versus a 1-inch spec.,SUBSUMES,high,Bare on thickness versus a 1-inch spec; the first name is the generic.,,,,,,,
SPOTCHECK,tomato,canned whole peeled tomatoes,diced tomatoes,auto_accepted,DISTINCT,high,Whole peeled vs diced: two different cans.,DISTINCT,high,"Cut/processing state differs: whole peeled can vs diced can, two separate purchases.",,,,,,,
SPOTCHECK,poultry,boneless skinless turkey breast,cooked turkey breast,auto_accepted,DISTINCT,high,Raw turkey breast vs cooked turkey breast are different purchases.,DISTINCT,high,Raw boneless skinless turkey breast and an already-cooked turkey breast are separate purchases; neither satisfies a recipe calling for the other.,,,,,,,
SPOTCHECK,chili,canned diced green chiles,canned diced tomatoes with green chiles,auto_accepted,DISTINCT,high,A can of diced green chiles and a can of tomatoes with green chiles are two different cans.,DISTINCT,high,A can of diced green chiles and a can of tomatoes with green chiles are two different cans.,,,,,,,
SPOTCHECK,pepper_corn,green bell pepper,red bell pepper,auto_accepted,DISTINCT,high,Two specific colours; two purchases.,DISTINCT,high,Two specific colours of bell pepper; a shopper with one must still buy the other.,,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,fire-roasted diced tomatoes,auto_accepted,SYNONYM,high,Same can; 'canned' implicit.,SYNONYM,high,Fire-roasted diced tomatoes are only sold canned; 'canned' is redundant wording for the same product.,,,,,,,
SPOTCHECK,flour_starch,cornmeal,yellow cornmeal,auto_accepted,SUBSUMES,high,Bare 'cornmeal' is the generic; 'yellow' fixes the colour.,SUBSUMES,high,Bare 'cornmeal' is the generic (white and blue cornmeal also exist); 'yellow' fixes the colour.,,,,,,,
SPOTCHECK,tomato,canned san marzano whole peeled tomatoes,whole peeled san marzano tomatoes,auto_accepted,SYNONYM,high,"Same can, words reordered.",SYNONYM,high,Identical can with the modifiers reordered.,,,,,,,
SPOTCHECK,tomato,tomato,tomato passata,auto_accepted,DISTINCT,high,"Passata is a processed bottled purée, a separate purchase.",DISTINCT,high,"Passata is a strained, bottled purée — a different product noun and a separate purchase from tomatoes.",,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,crushed fire-roasted tomatoes,auto_accepted,DISTINCT,high,Diced vs crushed: two different cans.,DISTINCT,high,Diced vs crushed are different cans; texture/processing is a product difference.,,,,,,,
SPOTCHECK,edamame,edamame,shelled edamame,auto_accepted,SUBSUMES,high,"""edamame"" is bare and unspecified on every axis, so it is satisfied by shelled edamame; a shopper needing shelled beans is not satisfied by pods-on edamame without podding work. Bare generic is the first name.",SUBSUMES,high,"""edamame"" is bare and unspecified on every axis, so it is satisfied by shelled edamame; a recipe calling for shelled beans is not satisfied by pods-on edamame without podding. Generic is the FIRST name, consistent with edamame ~ shelled frozen edamame.",,,,,,,
SPOTCHECK,sugar,palm sugar,sugar,auto_accepted,SUBSUMES,high,"Bare ""sugar"" is the generic; ""palm sugar"" is a specific source-qualified kind.",SUBSUMES,high,Palm sugar is a source-qualified specific kind of sugar; bare 'sugar' is the generic. Same axis and treatment as brown sugar ~ sugar in this family.,,,,,,,
SPOTCHECK,seafood,salmon fillets,skin-on salmon fillets,auto_accepted,SUBSUMES,high,"Bare ""salmon fillets"" is the generic; skin-on is the specific. Generic is the first name.",SUBSUMES,high,"Bare ""salmon fillets"" fixes no skin state; skin-on is the specific kind. Generic is the first name.",,,,,,,
SPOTCHECK,allium,garlic head,head of garlic,auto_accepted,SYNONYM,high,Word-order variants of the same bulb.,SYNONYM,high,Word-order variants naming the same garlic bulb.,,,,,,,
SPOTCHECK,bean_legume,canned white cannellini beans,cannellini beans,auto_accepted,SUBSUMES,high,"""cannellini beans"" is the bare generic (white is redundant); the canned version is the specific.",SUBSUMES,high,"""cannellini beans"" is the bare generic leaving form open (dried bags are sold); the canned white version is a specific of it, with ""white"" merely restating the default.",,,,,,,
SPOTCHECK,chili,canned green chiles,dried whole red chilies,auto_accepted,DISTINCT,high,Canned green chiles and whole dried red chiles are separate purchases.,DISTINCT,high,Canned green chiles and whole dried red chiles are unrelated purchases.,,,,,,,
SPOTCHECK,eggplant,eggplant,globe eggplant,auto_accepted,SUBSUMES,high,"""eggplant"" is the bare generic; ""globe eggplant"" is a specific variety of it. A shopper needing eggplant is satisfied by a globe eggplant, but one needing globe specifically is not satisfied by any eggplant.",SUBSUMES,high,"""eggplant"" is the bare generic name; ""globe eggplant"" is the specific (albeit default US) variety. Other kinds exist (thai, japanese, italian), so the bare name does not exclude them — SUBSUMES rather than SYNONYM, consistent with the family's ""eggplant ~ thai eggplant"" verdict.",,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,canned san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed can vs whole peeled can: two different purchases.,DISTINCT,high,Crushed can vs whole peeled can — two different San Marzano products.,,,,,,,
SPOTCHECK,rice_grain,rice noodles,rice vermicelli noodles,auto_accepted,SUBSUMES,high,"""rice noodles"" is the bare generic; vermicelli fixes the shape axis.",SUBSUMES,high,"'rice noodles' is the bare generic; vermicelli fixes the thread shape, a specific kind of rice noodle.",,,,,,,
SPOTCHECK,pork,bone-in pork chops,bone-in thick-cut pork chops,auto_accepted,SUBSUMES,high,Bare generic on thickness; 'thick-cut' fixes it.,SUBSUMES,high,"Bare on thickness; 'thick-cut' fixes that axis, so the first name is the generic.",,,,,,,
SPOTCHECK,allium,medium yellow onion,yellow onion,auto_accepted,SUBSUMES,high,'Yellow onion' is unspecified on size and covers the medium one; not the reverse. Second name is the generic.,SUBSUMES,high,'Yellow onion' is unspecified on size and covers a medium one; not the reverse. Second name is the generic.,,,,,,,
SPOTCHECK,nut_seed,black mustard seeds,mustard seeds,auto_accepted,SUBSUMES,high,"""mustard seeds"" is the bare generic; ""black mustard seeds"" is a specific kind of it. Generic is the second name.",SUBSUMES,high,"""Mustard seeds"" is the bare generic covering yellow, brown and black; ""black mustard seeds"" is a specific variety. Matches ""brown mustard seeds"" ~ ""mustard seeds"". Generic is the second name.",,,,,,,
SPOTCHECK,seafood,skin-on salmon fillets,skinless salmon fillet,auto_accepted,DISTINCT,high,Two specifics on the skin axis; a shopper needing one must buy the other.,DISTINCT,high,Two opposing specifics on the skin axis; a shopper holding one must still buy the other.,,,,,,,
SPOTCHECK,wine,red wine,white wine,auto_accepted,DISTINCT,high,"Two specifics on the colour axis; two bottles, two purchases.",DISTINCT,high,"Red wine and white wine are two specifics on the colour axis — separate bottles, separate purchases. Consistent with the rest of the family (dry red vs dry white = DISTINCT).",,,,,,,
SPOTCHECK,bread,thick-cut corn tortilla chips,tortilla chips,auto_accepted,SUBSUMES,high,"""tortilla chips"" is the bare generic; thick-cut corn chips are a specific kind, so the second name is generic.",SUBSUMES,high,"""Tortilla chips"" is the bare generic; thick-cut corn chips are a specific kind, so the second name is the generic.",,,,,,,
SPOTCHECK,chili,dried red chili flakes,red chili,auto_accepted,DISTINCT,high,Flakes are a separate jar from whole chile peppers.,DISTINCT,high,A jar of flakes is a different purchase from whole chile peppers.,,,,,,,
SPOTCHECK,poultry,bone-in skin-on chicken breast,chicken breast,auto_accepted,SUBSUMES,high,"""chicken breast"" is the bare generic; bone-in skin-on is a specific form of it.",SUBSUMES,high,"'Chicken breast' is the bare generic; bone-in skin-on is one specific form of it, matching the rest of the family's breast entries.",,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole peeled: two different cans.,DISTINCT,high,"Crushed vs whole peeled: different cans, each requires its own purchase.",,,,,,,
SPOTCHECK,tomato,crushed tomatoes,fire-roasted crushed tomatoes,auto_accepted,SUBSUMES,high,First is the generic; fire-roasted is a specific kind of crushed tomatoes.,SUBSUMES,high,'Crushed tomatoes' is the generic; fire-roasted is a specific kind of crushed tomatoes.,,,,,,,
SPOTCHECK,cardamom pod,cardamom pods,green cardamom pods,auto_accepted,SUBSUMES,high,"""cardamom pods"" is the bare generic (and green is the default kind), while ""green cardamom pods"" fixes the variety axis. Generic demand is met by green pods, not vice versa. First name is generic.",SUBSUMES,high,"Bare generic vs. variety-qualified specific; green is merely the default kind, and per the default-variety rule this is SUBSUMES, not SYNONYM. Consistent with the family's black-vs-green DISTINCT answers. First name is generic.",,,,,,,
SPOTCHECK,pork,hot italian sausage,mild italian sausage,auto_accepted,DISTINCT,high,Hot and mild are two different specified products on the same axis.,DISTINCT,high,"Hot and mild are two specified, mutually exclusive values on the heat axis — two different packages.",,,,,,,
SPOTCHECK,cheese,mozzarella cheese,shredded low-moisture mozzarella cheese,auto_accepted,DISTINCT,high,Whole mozzarella versus a shredded low-moisture bag.,DISTINCT,high,A bag of shreds versus solid mozzarella; the shredded form is a separate purchase regardless of the low-moisture qualifier.,,,,,,,
SPOTCHECK,allium,garlic,garlic powder,auto_accepted,DISTINCT,high,Dried powdered spice jar vs fresh bulb; separate purchases.,DISTINCT,high,A dried powdered spice jar is a separate purchase from a fresh garlic bulb.,,,,,,,
SPOTCHECK,pork,bacon,thick-cut bacon strips,auto_accepted,SUBSUMES,high,Bare 'bacon' subsumes bacon qualified on thickness and form.,SUBSUMES,high,Bare 'bacon' is generic over bacon qualified as thick-cut strips.,,,,,,,
SPOTCHECK,sugar,dark brown sugar,white sugar,auto_accepted,DISTINCT,high,Two different qualified products; a shopper with one must buy the other.,DISTINCT,high,"Two specifics under the 'sugar' generic, qualified differently (molasses-rich dark brown versus refined white). Neither subsumes the other and a shopper with one must still buy the other. Consistent with 'light brown sugar ~ white sugar' => DISTINCT.",,,,,,,
SPOTCHECK,cheese,provolone,provolone cheese slices,auto_accepted,DISTINCT,high,Slices versus block provolone; form is the product.,DISTINCT,high,"Deli slices versus a block of provolone; form is the product, consistent with 'provolone cheese ~ provolone cheese slices' (DISTINCT, high).",,,,,,,
SPOTCHECK,tomato,canned crushed tomatoes,crushed tomatoes,auto_accepted,SYNONYM,high,Crushed tomatoes are sold canned; same product.,SYNONYM,high,Crushed tomatoes are sold canned; 'canned' is implicit — same product.,,,,,,,
SPOTCHECK,cheese,oaxacan cheese,oaxacan cheese (quesillo),auto_accepted,SYNONYM,high,Quesillo is just the other name for Oaxacan cheese.,SYNONYM,high,"Quesillo is simply the Mexican name for Oaxacan cheese; the parenthetical is a gloss, one shelf item.",,,,,,,
SPOTCHECK,seafood,large shell-on shrimp (16/20 count),shrimp,auto_accepted,SUBSUMES,high,"Bare ""shrimp"" is unspecified on every axis and is satisfied by large shell-on 16/20; generic is the second name.",SUBSUMES,high,"Bare ""shrimp"" is unspecified on size, shell and count and is satisfied by large shell-on 16/20. Generic is the second name.",,,,,,,
SPOTCHECK,bread,brioche buns,brioche hamburger bun,auto_accepted,SUBSUMES,high,"Bare ""brioche buns"" covers hamburger-shaped brioche buns; the reverse does not hold.",SUBSUMES,high,"Bare ""brioche buns"" covers hamburger-shaped brioche buns; the reverse does not hold.",,,,,,,
SPOTCHECK,root_veg,red potatoes,sweet potatoes,auto_accepted,DISTINCT,high,Different vegetables.,DISTINCT,high,Different species entirely — Solanum tuberosum red-skinned potatoes versus Ipomoea batatas sweet potatoes. Neither substitutes for the other; consistent with all other sweet-potato pairs in the family.,,,,,,,
SPOTCHECK,flour_starch,large flour tortillas,small flour tortillas,auto_accepted,DISTINCT,high,Large and small are two sibling specifics on the size axis.,DISTINCT,high,Large and small are two sibling specifics on the size axis; a shopper with one must buy the other.,,,,,,,
SPOTCHECK,pepper_corn,"black pepper, ground",ground black pepper,auto_accepted,SYNONYM,high,"Same product, word order reversed.",SYNONYM,high,"Identical product, only word order differs.",,,,,,,
SPOTCHECK,greens,lettuce,romaine lettuce,auto_accepted,SUBSUMES,high,"Bare generic ""lettuce"" first; romaine is a specific variety.",SUBSUMES,high,"Bare ""lettuce"" is the unqualified generic; romaine is one specific variety of it. A lettuce need is met by romaine, but a romaine need is not met by iceberg or butter lettuce. Generic is the FIRST name.",,,,,,,
SPOTCHECK,allium,large yellow onion,red onion,auto_accepted,DISTINCT,high,"Yellow (with size) vs red — different colours, both specified.",DISTINCT,high,"Yellow (with a size qualifier) versus red: both specified, different colours, so neither subsumes.",,,,,,,
SPOTCHECK,soy_sauce,dark soy sauce,low-sodium soy sauce,auto_accepted,DISTINCT,high,Both names carry qualifiers on different axes (style vs sodium level); a shopper with dark soy sauce needing low-sodium must buy another bottle.,DISTINCT,high,"Two separately qualified products on different axes (brewing/style vs sodium reduction). Dark soy sauce is thick, molasses-rich and full-sodium; a shopper needing low-sodium soy sauce must buy a different bottle.",,,,,,,
SPOTCHECK,chili,canned diced green chiles,dried whole red chilies,auto_accepted,DISTINCT,high,Canned green chiles versus whole dried red chiles are unrelated purchases.,DISTINCT,high,A can of diced green chiles versus whole dried red chiles: unrelated products.,,,,,,,
SPOTCHECK,tomato,fresh tomatoes,whole canned tomatoes,auto_accepted,DISTINCT,high,Fresh produce vs a can.,DISTINCT,high,"Fresh produce vs a can of processed tomatoes — different shelves, different purchases.",,,,,,,
SPOTCHECK,kimchi,kimchi,kimchi juice,auto_accepted,COMPONENT,high,Kimchi juice is the liquid from the same jar of kimchi — same relationship as kimchi to kimchi brine.,COMPONENT,high,"Kimchi juice is the brine/liquid that comes in the same jar of kimchi — one purchase, the juice is drained off the kimchi. Consistent with the family's high-confidence 'kimchi ~ kimchi brine' COMPONENT verdict.",kimchi,2,tbsp,true,,,
SPOTCHECK,pork,andouille smoked sausage,smoked sausage,auto_accepted,SUBSUMES,high,"'Smoked sausage' is the bare generic; andouille is one specific smoked sausage. A shopper needing smoked sausage is served by andouille, not the reverse.",SUBSUMES,high,'Smoked sausage' is the bare generic; andouille is one specific smoked sausage.,,,,,,,
SPOTCHECK,cheese,shredded low-moisture whole-milk mozzarella,whole milk mozzarella,auto_accepted,DISTINCT,high,Shredded bag versus a block/ball of whole milk mozzarella.,DISTINCT,high,Pre-shredded bag versus a block/ball of whole milk mozzarella; cut and packaging differ.,,,,,,,
SPOTCHECK,herb,fresh mint,fresh mint leaves,auto_accepted,COMPONENT,high,You buy the mint bunch; picking leaves discards the stems.,COMPONENT,high,You buy the mint bunch; picking leaves leaves the stems behind. Matches all other bunch->leaves rulings in this family.,fresh mint,1.5,cup,true,,,
SPOTCHECK,tomato,condensed tomato soup,tomato,auto_accepted,DISTINCT,high,Canned soup is a wholly different product from a tomato.,DISTINCT,high,"Condensed soup is a finished manufactured product, not a form of tomato.",,,,,,,
