mealId,title,serv,medCal,medP,medC,medF,grounded%,draw1,draw2,draw3,bitIdentical,consistentFlags
8678a11c-6fe4-4408-863f-5690dc479805,"Build-Your-Own Veggie Tacos with Roasted Corn, Black Beans, and Guacamole",4,885,29.5,90.1,42.3,92,885,885,885,true,""
e5556c9f-fb1b-4f06-8659-fe96e9de6ade,"Crispy Hard Shell Ground Beef Tacos with Street Corn Salad",4,1130,62.3,75.2,66.1,91,1130,1105,1135,false,""
9aaf45f6-3d54-4ef4-afbd-84ae5d00dca8,"Herb-Crusted Baked Chicken Breast with Roasted Garlic Mashed Potatoes & Blistered Green Beans",2,675,40.7,49.3,33.5,88,675,675,675,true,""
67b192e0-33a0-4ba2-9ee6-9722bb9d5b54,"Classic Cheeseburger with Crispy Oven Fries & Coleslaw",2,1285,42.9,72,84.2,85,1285,1285,1285,true,""
53ba3c2e-3479-4370-a0cc-caa913200a97,"Spaghetti with Hearty Beef Meat Sauce",4,785,52.3,69.6,31.3,91,785,785,785,true,""
6e0d54d1-80b7-49da-bcb8-751a91663c1b,"Spaghetti and Beef-Pork Meatballs in San Marzano Tomato Sauce",4,980,60,88.7,40.3,79,980,980,980,true,""
1eafc755-8c59-4b40-b7c4-47120bf78584,"Smoky Beef Chili with Cornbread Crumble",2,950,54,76.3,41.7,85,950,950,950,true,""
cce515c8-b82a-4086-b66e-14221ad51101,"Crispy Chicken Parmesan with Spaghetti and Garlic Green Beans",4,1195,78.7,108.4,41.7,87,1195,1170,1195,false,""
8c3cb0aa-71a6-415e-bf8f-a00134c03542,"Homemade Pepperoni Pizza with Garlic Herb Salad",4,1060,40.9,101.3,50.8,73,1060,1060,1060,true,""
bc3e0d2a-b777-493b-8fd8-bf063ce352f1,"Baked Mac and Cheese with Crispy Breadcrumb Crust & Roasted Broccoli",2,970,44.6,70.1,55,92,970,940,970,false,""
26abd41a-3e69-4395-bae5-2a67ccabf014,"Beef and Broccoli Stir-Fry with Steamed Jasmine Rice",2,635,38.1,68.6,22.6,100,635,635,635,true,""
3e2e0912-06e2-4653-aa2f-8915f05ad82b,"Classic Pot Roast with Root Vegetables and Buttery Mashed Potatoes",4,910,59.9,51.3,44,75,910,910,910,true,""
8b34a859-56b4-4ad1-a49e-0f0ba2c2c0b9,"Sheet-Pan Chicken Fajitas with Cilantro-Lime Rice and Avocado Crema",4,1170,57.6,116.2,43.5,90,1170,1170,1170,true,""
a63262b8-af63-4605-bac4-dbe5a2acec9a,"Chicken and Vegetable Stir-Fry with Jasmine Rice",2,660,40.7,55.9,16,94,660,660,660,true,"Atwater 123 kcal vs stated 240 kcal (>40% off)"
eae97408-0da5-4190-a945-c74bad1a9120,"Baked Lemon-Herb Salmon with Garlic Roasted Asparagus and Herbed Couscous",2,635,37.8,44.1,32.6,86,605,635,635,false,""
e3702c33-3d1b-4f9f-981f-3cfdb2e043b1,"Buttermilk Fried Chicken with Honey-Glazed Corn on the Cob & Creamy Coleslaw",4,1390,49.1,97.9,84.1,89,1390,1390,1390,true,""
20f75a0d-f26d-455b-bf59-63a10cf6f232,"Hearty Chicken Noodle Soup with Crusty Bread",4,845,45.5,45.5,19.5,87,845,845,845,true,"Atwater 68 kcal vs stated 340 kcal (>40% off)"
e5469902-c2c0-4d9d-bc5f-04064120be45,"Grilled Chicken Breast with Roasted Garlic Potatoes and Steamed Broccoli",4,460,38.8,38.5,20.4,83,460,460,460,true,"Atwater 69 kcal vs stated 45 kcal (>40% off)"
aefc64f2-7af6-4fdc-a775-fd1c4301c6b8,"Classic Beef Meatloaf with Garlic Mashed Potatoes & Roasted Green Beans",2,810,39.5,65.4,41.3,88,810,810,810,true,""
4c1a206d-d9eb-4ab4-9cbf-b2d5f9166f5e,"Herb-Roasted Whole Chicken with Roasted Garlic Pan Jus",2,1530,60.6,45,86.5,83,1530,1530,1555,false,""
edc65b17-3caf-4103-8e4d-922da3549169,"Hearty Beef Stew with Root Vegetables",2,615,38.7,50.9,21.4,100,605,615,615,false,""
