ingredientId,ingredientName,decision,fdcId,usdaDescription,dataType,cal100g,protein100g,carbs100g,fat100g,aiReason,candidateCount
512b543f-1882-4b52-8e8b-136dc6ad67b5,beef sirloin steak tips,AUTO,174024,"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",SR Legacy,265,30,0,15.2,,25
739946bb-765b-42cc-b660-d9c6512cd4a5,beef stock,AUTO,172883,"Soup, stock, beef, home-prepared",SR Legacy,13,1.97,1.2,0.09,,25
a5a4cc90-0e44-4e35-a394-3f7ec6e8cbb1,beefsteak tomato,MISS,,,,,,,,Beefsteak tomato is a specific fresh tomato variety; no raw fresh tomato candidate matches this variety specifically,25
af9f97f5-87d5-4017-80cd-ba82b2a867c2,beets,AUTO,169145,"Beets, raw",SR Legacy,43,1.61,9.56,0.17,,14
b8346d79-b5a6-4537-98ce-5b903d36118e,bell peppers,MISS,,,,,,,,"Ingredient 'bell peppers' is generic and could be any color; candidates 0-3 are all valid but specific colors, and no single option represents the generic category",25
0c4cb179-526e-483d-a228-6796ea4fda9e,black beans,AUTO,173734,"Beans, black, mature seeds, raw",SR Legacy,341,21.6,62.4,1.42,,25
57c876d1-6780-4cc6-994a-efd4a0f1dd53,black forest ham,AUTO,170712,"SUBWAY, black forest ham sub on white bread with lettuce and tomato",SR Legacy,151,9.12,22.9,2.53,,25
5239a6f5-25a5-4b8a-a83a-1cddcb4b86af,black pepper,AUTO,170931,"Spices, pepper, black",SR Legacy,251,10.4,64,3.26,,25
4b8ca960-7dde-4f23-8443-9f102db3c8fe,blueberries,AUTO,171711,"Blueberries, raw",SR Legacy,57,0.74,14.5,0.33,,25
d89d1028-18f0-4640-9829-ba307ed778f5,bone-in beef chuck roast,MISS,,,,,,,,"AI picked ""Beef, chuck, roast, boneless, choice, raw"" but its macros are incomplete",25
51b4cd3f-3f4e-4db0-8949-83fae51800e9,bone-in pork shoulder,AI_PICK,167843,"Pork, fresh, shoulder, whole, separable lean and fat, raw",SR Legacy,236,17.2,0,18,"Pork, fresh, shoulder, whole matches bone-in pork shoulder - whole shoulder cut that is fresh/unprepared and includes bone",25
f320cc23-f85e-416b-97d0-c08158de434b,bone-in ribeye steak,MISS,,,,,,,,"No candidate matches 'bone-in ribeye steak'; candidates show either boneless ribeye or bone-in t-bone steaks, which are different cuts",25
37de43ce-1444-4776-bda9-bc1c13eb251b,bone-in skin-on chicken drumsticks,MISS,,,,,,,,"AI picked ""Chicken, drumstick, meat and skin, raw"" but its macros are incomplete",25
fed1a01e-3472-4edb-8da8-ac6e4a49db14,bone-in skin-on chicken thighs,MISS,,,,,,,,"AI picked ""Chicken, thigh, meat and skin, raw"" but its macros are incomplete",25
46d5ad9b-0a30-4070-8a89-cbf7e5aca66c,boneless lamb shoulder,AUTO,174464,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, raw",SR Legacy,252,16.9,0.2,20.4,,25
6a749dc2-1bc2-4d5a-8669-476d6c6b7b95,boneless pork shoulder,AUTO,169187,"Pork, Shoulder breast, boneless, separable lean and fat, raw",SR Legacy,127,22.5,0,3.4,,25
6b033296-776c-4517-be5a-93a46d8c9c91,boneless skinless chicken breast,AUTO,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",SR Legacy,120,22.5,0,2.62,,25
a7cd8cb2-1a82-4dfe-addf-2ddf5532a9a1,boneless skinless chicken thighs,MISS,,,,,,,,"AI picked ""Chicken, thigh, boneless, skinless, raw"" but its macros are incomplete",25
3f20d4ee-1e45-4f07-9038-ea9002862cf0,bratwurst sausage,AI_PICK,171622,"Bratwurst, pork, beef, link",SR Legacy,323,14.3,2.98,27.8,"Bratwurst, pork, beef, link is the most generic bratwurst sausage without specific cooking method or additional descriptors",25
2e7b43da-15d5-4ac1-8016-0ab4fcd80b9a,breadcrumbs,MISS,,,,,,,,no USDA candidates,0
dc907631-8b9e-447a-b541-2bbe14910cf6,brioche bun,MISS,,,,,,,,"None of the candidates are plain brioche buns; all are either finished products (doughnuts, cinnamon buns) or complete fast food meals with condiments",6
c007f541-aaa1-4100-8a5e-c577720873c4,brioche burger bun,MISS,,,,,,,,No plain brioche burger bun record available; all candidates are either prepared dishes or non-bun items,25
841e065e-ebff-4a57-952f-fc75b69efe0e,brioche burger buns,MISS,,,,,,,,None of the candidates are brioche burger buns; all are prepared restaurant dishes or specific products rather than the plain bun ingredient,25
1e90af81-b53c-4257-b3f4-3a3c7cb3844e,brioche hamburger bun,AI_PICK,172796,"Rolls, hamburger or hotdog, plain",SR Legacy,279,9.77,50.1,3.91,"Most generic plain hamburger bun option; brioche is a type of bun, and this is the closest match to an unprepared, plain bun product",25
c53f866a-2ee8-455e-b633-88f387a57db3,broccoli,AUTO,747447,"Broccoli, raw",Foundation,31,2.57,6.27,0.34,,21
a9bda26d-d24a-473b-b0d8-579b2eaf84b0,broccoli floret,AI_PICK,169330,"Broccoli, flower clusters, raw",SR Legacy,28,2.98,5.06,0.35,"Broccoli floret refers to the flower clusters, which is the most specific match among available options",21
1919e2c6-93a2-42ae-a10a-eeadf3de9128,broccolini,MISS,,,,,,,,no USDA candidates,0
6b0c36e4-b6b5-4223-a14a-bda1da2f384e,brown rice,AUTO,1104812,"Flour, rice, brown",Foundation,365,7.19,75.5,3.85,,25
aafa07d7-22fa-40bd-960a-1f3121dd5c0f,brown sugar,AUTO,168833,"Sugars, brown",SR Legacy,380,0.12,98.1,0,,25
0afb999a-7605-4df1-bd0f-3809e276ec1d,butter,AUTO,171314,"Butter, Clarified butter (ghee)",SR Legacy,900,0,0,100,,25
c2f5b970-8511-4145-9b7b-7a84ec5d3675,buttermilk,AUTO,171274,"Milk, buttermilk, dried",SR Legacy,387,34.3,49,5.78,,25
4efd3dd1-7fa6-42b1-bfe4-7ea5793701b5,canned black beans,AUTO,171141,"Soup, black bean, canned, condensed",SR Legacy,91,4.83,15.4,1.32,,25
b80e01e1-954e-4c02-ab5c-cd9755739c47,canned diced green chiles,AI_PICK,168577,"Peppers, chili, green, canned",SR Legacy,21,0.72,4.6,0.27,"Peppers, chili, green, canned is the most direct match for canned diced green chiles",25
b0c9782e-2622-47c9-9314-42bc3378cd7d,canned diced tomatoes,AUTO,333281,"Tomatoes, canned, red, ripe, diced",Foundation,18,0.84,3.32,0.5,,25
3dd771d4-c915-4861-9c24-5954ec8e1d0e,canned green chiles,AI_PICK,168577,"Peppers, chili, green, canned",SR Legacy,21,0.72,4.6,0.27,"Peppers, chili, green, canned is the plain, generic canned green chiles product matching the ingredient",25
f1d09aee-ad2f-4586-b58f-3c7cea0a5eea,canned kidney beans,AUTO,173741,"Beans, kidney, all types, mature seeds, canned",SR Legacy,84,5.22,14.5,0.6,,25
368434b4-8369-4b7a-9b1a-01e75b32c79f,canned mild red enchilada sauce,AI_PICK,174074,"Sauce, enchilada, red, mild, ready to serve",SR Legacy,30,0.62,4.87,0.91,"Exact match for enchilada sauce, red, mild - the primary ingredient specified",25
bd2fece7-ba5f-4b4f-b110-85fcd7e7b62b,canned refried beans,AUTO,174296,"Refried beans, canned, vegetarian",SR Legacy,83,5.28,13.5,0.87,,25
137a69e7-a969-4fc5-a5fa-5f2aba2d0b20,canned tomato sauce,AUTO,170054,"Tomato products, canned, sauce",SR Legacy,24,1.2,5.31,0.3,,25
230b457f-56c6-45b8-8e85-2a8514f53310,canned white cannellini beans,MISS,,,,,,,,"AI picked ""Beans, cannellini, canned, sodium added, drained and rinsed"" but its macros are incomplete",25
6acbbea1-4564-4357-a373-26fe2c571596,capers,AUTO,172238,"Capers, canned",SR Legacy,23,2.36,4.89,0.86,,1
8215eb8c-0d90-4e8a-a6bf-6000e415d5cb,carrot,AUTO,170500,"Carrot, dehydrated",SR Legacy,341,8.1,79.6,1.49,,25
46f8a102-3c8f-4201-a012-87c4c094e284,carrots,AUTO,170500,"Carrot, dehydrated",SR Legacy,341,8.1,79.6,1.49,,25
f40a7dfc-1917-4a52-895d-05df64413278,cayenne pepper,AUTO,170932,"Spices, pepper, red or cayenne",SR Legacy,318,12,56.6,17.3,,25
f925bf0a-cbda-4969-8104-c7f23dae72b5,celery,AUTO,169988,"Celery, raw",SR Legacy,14,0.69,2.97,0.17,,9
1968ad0b-eecf-4203-8f2d-2b6f8b659bf6,celery stalk,MISS,,,,,,,,"AI picked ""Celery, raw"" but its macros are incomplete",11
ff5c0f12-8f37-4ef8-9525-c134ea34b74f,cheddar,AUTO,328637,"Cheese, cheddar",Foundation,408,23.3,2.44,34,,20
9ec92e5e-0617-42e8-b721-91572511ef22,cherry tomato,AI_PICK,321360,"Tomatoes, grape, raw",Foundation,27,0.83,5.51,0.63,"Tomatoes, grape, raw is the closest match as both are small, raw tomato varieties; cherry tomatoes are not explicitly listed but grape tomatoes are the most similar available option",25
e4cb225c-b61d-4832-a74a-6fc248e0940e,cherry tomatoes,MISS,,,,,,,,No candidate specifically matches cherry tomatoes; candidate 9 (grape tomatoes) is closest but a different variety,25
afdc10c0-e03e-4649-96fe-54f17fe9ae47,chicken breast,AUTO,171515,"Chicken breast tenders, breaded, uncooked",SR Legacy,263,14.7,15,15.8,,25
f3287ad9-32a4-4a9b-b701-0faa71228100,chicken broth,AUTO,171110,"Chicken, canned, no broth",SR Legacy,185,25.3,0.9,8.1,,25
80e03e21-9da4-4780-8533-de2ad0a48062,chicken drumstick,AUTO,172855,"Chicken, skin (drumsticks and thighs), raw",SR Legacy,440,9.58,0.79,44.2,,25
0d363fb7-d089-4b8d-ae8c-680e68c72417,chicken stock,AUTO,172884,"Soup, stock, chicken, home-prepared",SR Legacy,36,2.52,3.53,1.2,,25
8abd0dbd-35de-4a18-8921-f72f58454c28,chicken tenderloins,AUTO,169842,"CRACKER BARREL, chicken tenderloin platter, fried",SR Legacy,293,18.1,20.3,15.5,,25
f115d3eb-ee04-4798-b532-e64ef5107689,chicken thighs,AUTO,172855,"Chicken, skin (drumsticks and thighs), raw",SR Legacy,440,9.58,0.79,44.2,,25
df8679ed-1d64-4d6f-9cfb-89627da92483,chickpeas,AUTO,174288,Chickpea flour (besan),SR Legacy,387,22.4,57.8,6.69,,10
2aff49c6-46d7-47a2-acee-ca6f6d39614b,chili powder,AUTO,171319,"Spices, chili powder",SR Legacy,282,13.5,49.7,14.3,,25
562f9793-fc2a-41fa-92a8-72b3a8704b3d,chipotle pepper in adobo sauce,MISS,,,,,,,,No candidate matches chipotle peppers in adobo sauce; candidates lack chipotle pepper or adobo sauce combination,25
22a31385-0229-4444-891b-13e01edfb0fe,chunky salsa,MISS,,,,,,,,"No salsa product in candidates; all options are either candy, soup, peanut butter, or cheese dip",25
d53ea28f-9d07-4347-a27b-2400de856380,cilantro,AUTO,169997,"Coriander (cilantro) leaves, raw",SR Legacy,23,2.13,3.67,0.52,,2
7f8cf47c-a74f-4f20-92fc-6ebe029f9be5,coconut milk,AUTO,174116,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",SR Legacy,31,0.21,2.92,2.08,,25
63a6a6f0-1558-43e7-9d57-6b2bbe2d3695,"cooked chicken, shrimp, or preferred protein",MISS,,,,,,,,"Ingredient specifies 'cooked chicken, shrimp, or preferred protein' (generic choice), but all candidates are specific protein types with cooking methods; no single generic option matches the 'or' nature of the ingredient",25
ed5e75cf-243d-4c13-936d-d143489255ac,cooked edamame,MISS,,,,,,,,"AI picked ""Edamame, frozen, prepared"" but its macros are incomplete",25
afd614de-4f84-4891-aea6-faae6ab07bf7,cooked ham,AUTO,174611,"Ham, honey, smoked, cooked",SR Legacy,122,17.9,7.27,2.37,,25
e5d1e735-7f0f-4aa2-8d57-73f8bdfa4e30,cooking spray,AUTO,171430,"Oil, PAM cooking spray, original",SR Legacy,792,0.26,20.7,78.7,,25
e5927b7e-f7f8-44e9-b19b-6edab2383e3b,corn on the cob,AUTO,169365,"Corn, sweet, white, frozen, kernels on cob, unprepared",SR Legacy,98,3.28,23.5,0.78,,25
dad43259-760c-424a-b563-3473c937f752,corn tortilla,AUTO,169829,"Tortilla, blue corn, Sakwavikaviki (Hopi)",SR Legacy,276,7.83,58.1,1.4,,25
5f90592a-e2f9-46c7-8ef1-3f2c0d33dc59,corn tortillas,AUTO,169829,"Tortilla, blue corn, Sakwavikaviki (Hopi)",SR Legacy,276,7.83,58.1,1.4,,25
ecdfb4dd-4bd7-4ec5-a1b7-ec6a16135724,corn tostada shells,AUTO,167525,"Tostada shells, corn",SR Legacy,474,6.15,64.4,23.4,,25
5449ba18-9db9-465e-9f35-10a867ce3bdd,cornstarch,AUTO,169698,Cornstarch,SR Legacy,381,0.26,91.3,0.05,,2
e10a8ae0-cc5c-4fac-8fbf-0b92aa9b9a51,cotija cheese,AUTO,170898,"Cheese, mexican, queso cotija",SR Legacy,366,20,3.97,30,,25
56ec7cfa-526f-4a07-bcac-83cf3d1997cd,cream cheese,AUTO,173418,"Cheese, cream",SR Legacy,350,6.15,5.52,34.4,,25
6f8a9220-8580-448d-819e-f058dfaab84a,cream of mushroom soup,AUTO,172901,"CAMPBELL'S, Cream of Mushroom Soup, condensed",SR Legacy,81,1.29,6.59,5.5,,25
006f6c83-d0e8-46eb-b5b0-5a3991839cda,cremini mushroom,MISS,,,,,,,,"AI picked ""Mushroom, crimini"" but its macros are incomplete",25
35bf8a9e-195f-4bca-b7f4-1e27188a50d0,cremini mushrooms,MISS,,,,,,,,"AI picked ""Mushroom, crimini"" but its macros are incomplete",25
bfcde4cd-048a-42f3-92bb-e277c4aec6f6,crumbled feta cheese,MISS,,,,,,,,"AI picked ""Cheese, feta, whole milk, crumbled"" but its macros are incomplete",25
47ed736d-e251-47b8-af38-fc86b7ef604d,crunchy chow mein noodles,AI_PICK,169735,"Noodles, flat, crunchy, Chinese restaurant",SR Legacy,521,10.3,51.9,31.7,"Noodles, flat, crunchy, Chinese restaurant matches the 'crunchy chow mein noodles' description as a generic crunchy noodle product",25
8d5a7f98-a16a-46a5-a6c7-f4babc5857bb,crushed red pepper flakes,AI_PICK,170932,"Spices, pepper, red or cayenne",SR Legacy,318,12,56.6,17.3,"Red pepper flakes are a spice product made from dried red/cayenne peppers, matching 'Spices, pepper, red or cayenne'",25
09331db6-36b8-4996-9553-a6dd769c30d2,crushed tomatoes,AUTO,170501,"Tomatoes, crushed, canned",SR Legacy,32,1.64,7.29,0.28,,25
aad2eda0-7fba-41a2-8702-15fdec421686,crusty artisan bread loaf,AI_PICK,173261,"Pillsbury, Crusty French Loaf, refrigerated dough",SR Legacy,243,8.59,46.4,2.88,Only candidate that is bread; others are meat loaves. Crusty French loaf matches crusty artisan bread loaf.,25
1b19107b-a7f3-4a29-88e3-eb4f2381e735,crusty baguette,MISS,,,,,,,,"Candidate is a branded refrigerated dough product, not a plain baked baguette bread",1
ef9ae6a4-d8ce-4075-a19d-68b4600f1b25,crusty bread,MISS,,,,,,,,"No generic crusty bread option; all candidates are either branded dough, specialty breads, or specific varieties",25
9edd8d69-9ede-40ec-852f-a84c9e335ecd,crusty sourdough bread,AI_PICK,172675,"Bread, french or vienna (includes sourdough)",SR Legacy,272,10.8,51.9,2.42,"Bread, french or vienna (includes sourdough) is the plain, generic sourdough bread match; option 1 is toasted, option 2 is branded dough, options 3-4 are English muffins, and options 5-9 are other bread types",25
04973da3-6fd9-4198-b9bd-d38baae3f00b,crusty sourdough loaf,AI_PICK,173261,"Pillsbury, Crusty French Loaf, refrigerated dough",SR Legacy,243,8.59,46.4,2.88,Only candidate that matches bread/loaf category; others are meat-based loaves,25
30495083-97d7-4343-a081-9279491bb0f7,cucumber,AUTO,169225,"Cucumber, peeled, raw",SR Legacy,10,0.59,2.16,0.16,,11
ba92b72b-999e-42e5-a6f1-540357132068,diced tomatoes,AUTO,333281,"Tomatoes, canned, red, ripe, diced",Foundation,18,0.84,3.32,0.5,,25
607d7bb1-8306-4371-9d86-364566f0d5ff,dijon mustard,MISS,,,,,,,,"No candidate specifically matches 'Dijon mustard'; available options are yellow mustard, mustard greens, mustard seed, and honey mustard preparations, but not Dijon mustard specifically",18
e2bbf495-ae0f-4a67-91f4-7c61cff84fc8,dill pickle,AUTO,324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.48,1.99,0.43,,25
65881b55-42db-4ce1-94a4-8cc530fdc439,dill pickle chips,AI_PICK,324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.48,1.99,0.43,Dill pickle chips are a form of dill or kosher dill pickles; Foundation type is preferred over SR Legacy,25
cf5f3e4c-a0f8-434f-98ec-6d45e8e92e70,dill pickle relish,AI_PICK,169386,"Pickle relish, hamburger",SR Legacy,129,0.63,34.5,0.54,"Dill pickle relish is a type of pickle relish, and hamburger relish is the most common generic dill pickle relish product",25
5eb8ecf9-c1c2-45df-8ca0-4c543a18a376,dill pickle slices,AI_PICK,324653,"Pickles, cucumber, dill or kosher dill",Foundation,12,0.48,1.99,0.43,Foundation source is preferred; dill pickles are the direct match for dill pickle slices,25
4a754373-39f7-474d-b89e-ce56b4d6e698,dried ancho chile,AI_PICK,169396,"Peppers, ancho, dried",SR Legacy,281,11.9,51.4,8.2,"Peppers, ancho, dried is the exact match for dried ancho chile",25
72e04c80-d097-4b92-ba94-3f2df150f936,dried ancho chili,AI_PICK,169396,"Peppers, ancho, dried",SR Legacy,281,11.9,51.4,8.2,"Peppers, ancho, dried is the exact match for dried ancho chili",25
5d7d8100-42df-4ae1-b636-366424644bb5,dried basil,AUTO,171317,"Spices, basil, dried",SR Legacy,233,23,47.8,4.07,,25
8d62a14b-4680-4732-9c28-1768ca42c964,dried chipotle chile,AI_PICK,168570,"Peppers, hot chile, sun-dried",SR Legacy,324,10.6,69.9,5.81,"Peppers, hot chile, sun-dried matches dried chipotle chile as both are dried hot chile peppers in plain form",25
6fc1590b-8b7f-4947-9469-0f8f23352277,dried chipotle chili,MISS,,,,,,,,"No candidate matches dried chipotle chili; candidates are unrelated fruits, herbs, and other dried foods",25
3e475aad-2042-4cf1-bd48-23a95c7632bd,dried guajillo chile,AI_PICK,168570,"Peppers, hot chile, sun-dried",SR Legacy,324,10.6,69.9,5.81,"Guajillo chile is a dried hot chile pepper, matching the sun-dried hot chile peppers record",25
7d886a60-5c9b-4f04-b50e-95643339d942,dried guajillo chili,MISS,,,,,,,,No guajillo chili or chili pepper record available in candidates,25
721d2e54-584a-42df-b417-e3987cc0a310,dried italian seasoning,MISS,,,,,,,,"No candidate matches dried italian seasoning; all candidates are individual dried fruits, vegetables, or herbs, not a seasoning blend",25
2f911309-d6ae-4ac9-b2fa-2c2ef7112a89,dried oregano,AUTO,171328,"Spices, oregano, dried",SR Legacy,265,9,68.9,4.28,,25
ef94f604-94a6-4d42-a130-3c94002e2aa3,dried rosemary,AUTO,171333,"Spices, rosemary, dried",SR Legacy,331,4.88,64.1,15.2,,25
793ecd9e-2662-4a03-bbce-a619031d2107,dried thyme,AUTO,170938,"Spices, thyme, dried",SR Legacy,276,9.11,63.9,7.43,,25
b0d4d297-527c-4bbf-8db2-7459bea59298,dry hard cider,AI_PICK,174146,"Beverages, AMBER, hard cider",SR Legacy,56,0,5.92,0,"Beverages, AMBER, hard cider is the only candidate that matches dry hard cider as a beverage product",25
2e8daed2-3532-4b27-a20a-4f640007bb5e,dry red wine,AI_PICK,173190,"Alcoholic beverage, wine, table, red",SR Legacy,85,0.07,2.61,0,Generic table red wine matches 'dry red wine' without specific varietal specification,25
44212437-d9d6-4333-8d8d-eacf27f6e9fa,dry sherry,MISS,,,,,,,,"None of the candidates are sherry wine; all are dry grains, legumes, or gravies",25
e32a229f-4d01-4fc1-9495-49b73d742000,dry white wine,AI_PICK,174837,"Alcoholic beverage, wine, table, white",SR Legacy,82,0.07,2.6,0,Matches 'dry white wine' - generic table white wine without specific varietal specification,25
e10f3d57-874b-4319-a99c-ec7fffecaf60,ear of corn,MISS,,,,,,,,"None of the candidates match 'ear of corn' - the candidates are either corn products/derivatives or non-corn items, not the whole corn ear itself",25
d904631c-e51e-4a3f-9a52-bcca0152a278,edamame,AUTO,168411,"Edamame, frozen, prepared",SR Legacy,121,11.9,8.91,5.2,,3
ff985025-9437-410a-bf2f-b65624bc9020,egg,AUTO,747997,"Eggs, Grade A, Large, egg white",Foundation,55,10.7,2.36,0,,25
d0297d4d-b358-4038-b7f3-78b772914f8e,eggs,AUTO,747997,"Eggs, Grade A, Large, egg white",Foundation,55,10.7,2.36,0,,25
8c7de655-52b1-45b9-8221-88cf44a0aa6d,elbow macaroni,MISS,,,,,,,,"No plain elbow macaroni pasta record available; all candidates are either prepared dishes, vegetable macaroni, or baby food products",25
d6fc9da2-dc51-41eb-991b-797d9379479e,english cucumber,MISS,,,,,,,,"AI picked ""Cucumber, with peel, raw"" but its macros are incomplete",25
538379f5-01c7-4b8b-ae11-3fe1ae091974,english muffins,AUTO,172761,"Muffins, English, wheat",SR Legacy,223,8.7,44.8,2,,25
27d1f342-5eb2-4626-a4b9-69f976e68af4,extra virgin olive oil,MISS,,,,,,,,"AI picked ""Oil, olive, extra virgin"" but its macros are incomplete",25
439df6d3-de2a-4d0a-9c5d-f264d642ad5a,extra-firm tofu,AUTO,174290,"Tofu, extra firm, prepared with nigari",SR Legacy,83,9.98,1.18,5.26,,25
5250f216-5b02-4267-ab79-1fdd144c791b,fajita seasoning,AI_PICK,172243,"Seasoning mix, dry, taco, original",SR Legacy,322,4.5,58,0,Fajita seasoning is most similar to taco seasoning mix as both are dry seasoning blends for similar Mexican-style dishes,24
6dec053b-1489-49dd-84eb-c149ca97907a,farro,MISS,,,,,,,,"AI picked ""Farro, pearled, dry, raw"" but its macros are incomplete",1
1b68541a-1e72-42bb-9a60-8e949b21178d,feta,AUTO,173420,"Cheese, feta",SR Legacy,265,14.2,3.88,21.5,,2
d6de7ab9-9368-4782-85c6-410a5d61f843,feta block,AI_PICK,173420,"Cheese, feta",SR Legacy,265,14.2,3.88,21.5,Feta cheese in block form; SR Legacy is plain and generic despite lacking 'block' specification,3
f7dcbee0-6f7b-4ec4-9887-874f48ddfd6c,feta cheese,AUTO,173420,"Cheese, feta",SR Legacy,265,14.2,3.88,21.5,,25
839e1d3d-bed5-4911-afb6-65332beefc74,fingerling potatoes,MISS,,,,,,,,"No candidate matches raw fingerling potatoes; index 6 is raw potato skin only, not whole fingerling potatoes",25
ce442361-c2a2-4947-ab2b-dbd9eb050325,fish sauce,AUTO,174531,"Sauce, fish, ready-to-serve",SR Legacy,35,5.06,3.64,0.01,,25
303cbdde-1486-4d97-8795-58a06dade4eb,flaky sea salt,AI_PICK,173468,"Salt, table",SR Legacy,0,0,0,0,"Salt, table is the only generic salt product; flaky sea salt is a type of salt despite the 'sea' and 'flaky' descriptors being more specific",25
c34bcc09-fff1-4fa9-a2ac-38131ff6a583,flank steak,AUTO,169433,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",SR Legacy,165,21.2,0,8.29,,25
