mealId,title,serv,run1Cal,run2Cal,run1P,run2P,run1C,run2C,run1F,run2F,grounded%,flagsBoth,flagsEither
e5556c9f-fb1b-4f06-8659-fe96e9de6ade,"Crispy Hard Shell Ground Beef Tacos with Street Corn Salad",4,1415,1415,73,73,89,89,78,80,91,"",""
9aaf45f6-3d54-4ef4-afbd-84ae5d00dca8,"Herb-Crusted Baked Chicken Breast with Roasted Garlic Mashed Potatoes & Blistered Green Beans",2,805,800,48,48,55,51,41,41,88,"",""
67b192e0-33a0-4ba2-9ee6-9722bb9d5b54,"Classic Cheeseburger with Crispy Oven Fries & Coleslaw",2,1235,1220,38,37,70,70,86,83,85,"",""
53ba3c2e-3479-4370-a0cc-caa913200a97,"Spaghetti with Hearty Beef Meat Sauce",4,785,785,52,53,69,69,31,31,91,"",""
6e0d54d1-80b7-49da-bcb8-751a91663c1b,"Spaghetti and Beef-Pork Meatballs in San Marzano Tomato Sauce",4,1060,1060,67,67,98,98,42,42,79,"",""
1eafc755-8c59-4b40-b7c4-47120bf78584,"Smoky Beef Chili with Cornbread Crumble",2,985,985,54,54,79,79,45,45,85,"",""
cce515c8-b82a-4086-b66e-14221ad51101,"Crispy Chicken Parmesan with Spaghetti and Garlic Green Beans",4,1225,1225,80,80,109,109,44,44,87,"",""
8c3cb0aa-71a6-415e-bf8f-a00134c03542,"Homemade Pepperoni Pizza with Garlic Herb Salad",4,1060,1060,41,41,101,101,51,51,73,"",""
bc3e0d2a-b777-493b-8fd8-bf063ce352f1,"Baked Mac and Cheese with Crispy Breadcrumb Crust & Roasted Broccoli",2,970,970,45,45,70,70,55,55,92,"",""
26abd41a-3e69-4395-bae5-2a67ccabf014,"Beef and Broccoli Stir-Fry with Steamed Jasmine Rice",2,725,725,35,35,60,60,25,25,100,"",""
3e2e0912-06e2-4653-aa2f-8915f05ad82b,"Classic Pot Roast with Root Vegetables and Buttery Mashed Potatoes",4,940,910,64,59,51,51,44,46,75,"",""
8b34a859-56b4-4ad1-a49e-0f0ba2c2c0b9,"Sheet-Pan Chicken Fajitas with Cilantro-Lime Rice and Avocado Crema",4,1170,1170,58,58,116,116,44,43,90,"",""
a63262b8-af63-4605-bac4-dbe5a2acec9a,"Chicken and Vegetable Stir-Fry with Jasmine Rice",2,660,675,41,41,56,56,17,17,94,"","Atwater 123 kcal vs stated 240 kcal (>40% off);Atwater 122 kcal vs stated 255 kcal (>40% off)"
eae97408-0da5-4190-a945-c74bad1a9120,"Baked Lemon-Herb Salmon with Garlic Roasted Asparagus and Herbed Couscous",2,635,605,38,38,44,44,33,30,86,"",""
e3702c33-3d1b-4f9f-981f-3cfdb2e043b1,"Buttermilk Fried Chicken with Honey-Glazed Corn on the Cob & Creamy Coleslaw",4,1430,1430,49,49,98,96,91,87,89,"",""
20f75a0d-f26d-455b-bf59-63a10cf6f232,"Hearty Chicken Noodle Soup with Crusty Bread",4,845,845,54,46,85,46,21,20,87,"","Atwater 68 kcal vs stated 340 kcal (>40% off)"
e5469902-c2c0-4d9d-bc5f-04064120be45,"Grilled Chicken Breast with Roasted Garlic Potatoes and Steamed Broccoli",4,460,460,39,39,39,39,20,20,83,"Atwater 69 kcal vs stated 45 kcal (>40% off)","Atwater 69 kcal vs stated 45 kcal (>40% off)"
aefc64f2-7af6-4fdc-a775-fd1c4301c6b8,"Classic Beef Meatloaf with Garlic Mashed Potatoes & Roasted Green Beans",2,895,915,41,41,69,71,48,50,88,"",""
4c1a206d-d9eb-4ab4-9cbf-b2d5f9166f5e,"Herb-Roasted Whole Chicken with Roasted Garlic Pan Jus",2,1585,1585,64,64,48,47,90,90,83,"",""
edc65b17-3caf-4103-8e4d-922da3549169,"Hearty Beef Stew with Root Vegetables",2,615,615,39,39,51,51,21,21,100,"",""
