provenance,needs_review,family,name_a,name_b,label,confidence,base_is,generic_is,yield_qty,yield_unit,co_harvestable,judge_reason
rule-authored,AUTO,(normalisation),"bok choy, halved lengthwise",bok choy,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"brown sugar, packed",brown sugar,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"canned black beans, drained and rinsed",canned black beans,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"carrots, diced",carrots,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"carrots, sliced into 1-inch pieces",carrots,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"carrots, sliced into rounds",carrots,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"celery stalks, cut into 1-inch pieces",celery stalks,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"celery stalks, diced",celery stalks,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"celery stalks, sliced",celery stalks,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"cremini mushrooms, quartered",cremini mushrooms,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"flat-leaf parsley, chopped",flat-leaf parsley,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"flat-leaf parsley, roughly chopped",flat-leaf parsley,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh cilantro sprigs, for serving",fresh cilantro sprigs,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh cilantro, finely chopped",fresh cilantro,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh cilantro, roughly chopped",fresh cilantro,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh flat-leaf parsley, chopped",fresh flat-leaf parsley,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh flat-leaf parsley, finely chopped",fresh flat-leaf parsley,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh ginger, finely grated",fresh ginger,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh ginger, grated",fresh ginger,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh mint leaves, finely chopped",fresh mint leaves,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh rosemary, finely chopped",fresh rosemary,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"fresh tomatoes, roughly chopped",fresh tomatoes,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"garlic cloves, minced",garlic cloves,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"garlic cloves, thinly sliced",garlic cloves,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"garlic, minced",garlic,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"green bell pepper, diced",green bell pepper,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"green cabbage, finely shredded",green cabbage,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"green chili, sliced",green chili,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"iceberg lettuce, shredded",iceberg lettuce,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"lime wedges, for serving",lime wedges,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"parmesan cheese, finely grated",parmesan cheese,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"parmigiano-reggiano, finely grated",parmigiano-reggiano,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"provolone cheese, sliced",provolone cheese,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"red onion, thinly sliced",red onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"roma tomatoes, halved",roma tomatoes,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"roma tomatoes, roughly chopped",roma tomatoes,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"scallions, thinly sliced, for garnish","scallions, thinly sliced",SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"scallions, thinly sliced",scallions,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"sour cream, for serving",sour cream,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"sourdough bread, sliced",sourdough bread,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought croutons,croutons,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought flatbread,flatbread,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought flour tortillas (8-inch),flour tortillas (8-inch),SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought flour tortillas,flour tortillas,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought guacamole,guacamole,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought hummus,hummus,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought naan bread,naan bread,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought napa cabbage kimchi,napa cabbage kimchi,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought pita bread,pita bread,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought pizza dough,pizza dough,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),store-bought sweet chili sauce,sweet chili sauce,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"unsalted butter, softened",unsalted butter,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"white onion, diced",white onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"white onion, roughly chopped",white onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"yellow onion, diced",yellow onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"yellow onion, roughly chopped",yellow onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"yellow onions, finely diced",yellow onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"yellow onions, thinly sliced",yellow onion,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
rule-authored,AUTO,(normalisation),"yukon gold potatoes, cut into 3/4-inch cubes",yukon gold potatoes,SYNONYM,high,,,,,,"rule-authored, not judged: the qualifier is a preparation note or a redundant provenance word, so both names are one purchase"
human-reviewed,AUTO,(ruling),garlic,garlic head,COMPONENT,high,garlic head,,10,clove,false,"reviewed 2026-09-01: same relation as head of garlic — the purchase is a head, the recipe wants cloves (D-WS9-194)"
human-reviewed,AUTO,(ruling),garlic,head of garlic,COMPONENT,high,head of garlic,,10,clove,false,reviewed 2026-09-01: a recipe's 'garlic' means cloves and the purchase is a head; ~10 cloves per head is the magnitude Block B needs (D-WS9-194)
ai-judged,AUTO,adobo from sauce,adobo sauce (from can),adobo sauce (from the can),SYNONYM,high,,,,,,"Identical reference to the adobo sauce in a can of chipotles in adobo; the phrasing differs only by the article ""the"". One purchase, one product."
ai-judged,AUTO,adobo sauce,adobo sauce,adobo sauce (from can),SYNONYM,high,,,,,,"""(from can)"" merely notes the source; it is the same adobo sauce off the same shelf item."
ai-judged,AUTO,adobo sauce,adobo sauce,adobo sauce (from the can),SYNONYM,high,,,,,,"""(from the can)"" is a parenthetical source note, not a different product — identical to plain adobo sauce."
ai-judged,AUTO,adobo sauce,adobo sauce,chipotle chile in adobo sauce,COMPONENT,high,chipotle chile in adobo sauce,,2,tbsp,true,You buy the can of chipotle chiles packed in adobo; the sauce comes with it at no extra purchase. Second name is the purchase.
ai-judged,AUTO,adobo sauce,adobo sauce,chipotle chiles in adobo sauce,COMPONENT,high,chipotle chiles in adobo sauce,,2,tbsp,true,Same relationship as the singular form: the canned chiles are the purchase and the adobo sauce is harvested from them.
ai-judged,AUTO,adobo sauce,adobo sauce,chipotle pepper in adobo sauce,COMPONENT,high,chipotle pepper in adobo sauce,,2,tbsp,true,"""Chipotle pepper in adobo sauce"" is the can you buy; the adobo sauce is the liquid it is packed in, so it comes free with the purchase."
ai-judged,AUTO,adobo sauce,adobo sauce,chipotle peppers in adobo sauce,COMPONENT,high,chipotle peppers in adobo sauce,,2,tbsp,true,"Same as the other chipotle-in-adobo pairs: buying the canned peppers yields the adobo sauce, chiles still usable."
ai-judged,AUTO,allium,chili garlic sauce,garlic,DISTINCT,high,,,,,,A jarred condiment versus a fresh bulb; separate purchases that only share the word garlic.
ai-judged,AUTO,allium,chili-garlic sauce,garlic,DISTINCT,high,,,,,,Same as the hyphen-free spelling: a prepared sauce is not fresh garlic.
arbiter-resolved,AUTO,allium,chives,dried chives,DISTINCT,high,,,,,,"Bare 'chives' denotes the fresh herb bunch; dried chives are a separate dried-herb jar purchase. No contradiction with pair 1 — bare = fresh, and fresh ≠ dried."
arbiter-resolved,AUTO,allium,chives,fresh chives,SYNONYM,high,,,,,,"Bare 'chives' already means the fresh herb; 'fresh chives' is the same bunch, one purchase."
arbiter-resolved,AUTO,allium,chives,garlic chives,DISTINCT,high,,,,,,Garlic chives (Allium tuberosum) are a different plant sold separately from common chives; family already has 'garlic' ~ 'garlic chives' DISTINCT high.
arbiter-resolved,AUTO,allium,crispy fried onions,fried onions,SYNONYM,medium,,,,,,Both names denote the same crisp fried-onion topping; 'crispy' is a descriptive adjective rather than a different product.
arbiter-resolved,AUTO,allium,crispy fried onions,onion,DISTINCT,high,,,,,,"Crispy fried onions are a cooked/packaged shelf-stable topping, not a part extracted from a raw bulb; a raw onion does not satisfy the call."
ai-judged,AUTO,allium,diced white onion,green onions,DISTINCT,high,,,,,,Bulb white onion versus scallions: two different produce items.
ai-judged,AUTO,allium,diced white onion,large yellow onion,DISTINCT,high,,,,,,"White onion versus yellow onion, and both names are qualified; two purchases."
ai-judged,AUTO,allium,diced white onion,medium yellow onion,DISTINCT,high,,,,,,"Different colour varieties, both qualified; neither covers the other."
ai-judged,AUTO,allium,diced white onion,onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; diced white onion is one specific kind of it.
ai-judged,AUTO,allium,diced white onion,red onion,DISTINCT,high,,,,,,"White versus red onion: two specific varieties, two purchases."
ai-judged,AUTO,allium,diced white onion,sliced green onions,DISTINCT,high,,,,,,Bulb onion versus green onion tops: different produce items.
ai-judged,AUTO,allium,diced white onion,white onion,SYNONYM,high,,,,,,Dicing merely transforms the onion; nothing of the purchase is discarded.
ai-judged,AUTO,allium,diced white onion,yellow onion,DISTINCT,high,,,,,,"White onion and yellow onion are different varieties, both qualified."
ai-judged,AUTO,allium,dried chives,fresh chives,DISTINCT,high,,,,,,Dried herb versus fresh herb: two separate purchases.
ai-judged,AUTO,allium,fresh garlic,garlic,SYNONYM,high,,,,,,Bare 'garlic' already means the fresh bulb; same item.
arbiter-resolved,AUTO,allium,fried onions (birista),onion,DISTINCT,medium,,,,,,"Birista is a cooked fried-onion preparation, a processing state away from the raw bulb, not a harvested part of it."
ai-judged,AUTO,allium,fried onions,fried onions (birista),SYNONYM,high,,,,,,'Birista' is just the Hindi/Urdu name for fried onions; same item.
arbiter-resolved,AUTO,allium,fried onions,onion,DISTINCT,medium,,,,,,Fried onions are a cooked preparation or packaged product; the raw bulb is a different item on the shelf.
arbiter-resolved,AUTO,allium,"frozen pearl onions, thawed",onion,DISTINCT,medium,,,,,,Bare 'onion' means a fresh bulb onion; a freezer bag of pearl onions is a different aisle and does not satisfy a call for 'onion'. Frozen form plus pearl size is too far from the generic to subsume.
arbiter-resolved,AUTO,allium,"frozen pearl onions, thawed",pearl onion,DISTINCT,medium,,,,,,Frozen (thawed) pearl onions are a freezer-case purchase; bare 'pearl onion' means the fresh bulb. Packaging/processing state is a product difference.
ai-judged,AUTO,allium,frozen pearl onions,"frozen pearl onions, thawed",SYNONYM,high,,,,,,Thawing transforms the same bag; nothing extra is bought or discarded.
arbiter-resolved,AUTO,allium,frozen pearl onions,onion,DISTINCT,medium,,,,,,"Same reasoning as the thawed variant: bare 'onion' is the fresh bulb, frozen pearl onions are a separate freezer product, not a satisfying substitute for the generic."
arbiter-resolved,AUTO,allium,frozen pearl onions,pearl onion,DISTINCT,medium,,,,,,Frozen bag versus fresh pearl onions: two different purchases in different parts of the store.
arbiter-resolved,AUTO,allium,garlic cloves,"garlic cloves, peeled",SYNONYM,high,,,,,,"Peeling removes only the inedible papery skin; same cloves, one purchase. Consistent with both names taking COMPONENT against 'garlic' at high confidence."
ai-judged,AUTO,allium,garlic head,head of garlic,SYNONYM,high,,,,,,Word-order variants of the same purchase.
ai-judged,AUTO,allium,garlic head,whole garlic head,SYNONYM,high,,,,,,'Whole' adds nothing; a garlic head is already whole.
ai-judged,AUTO,allium,garlic,garlic chives,DISTINCT,high,,,,,,"Garlic chives are a leafy herb, not garlic bulbs."
ai-judged,AUTO,allium,garlic,garlic cloves,COMPONENT,high,garlic,,10,clove,false,"You buy a head of garlic; cloves are broken off it, consuming the head."
ai-judged,AUTO,allium,garlic,"garlic cloves, peeled",COMPONENT,high,garlic,,10,clove,false,"Same as garlic to cloves; peeling adds no purchase, the head yields the peeled cloves."
ai-judged,AUTO,allium,garlic,garlic powder,DISTINCT,high,,,,,,Dried ground spice versus fresh bulb: separate purchases.
ai-judged,AUTO,allium,garlic,ginger-garlic paste,DISTINCT,high,,,,,,A prepared paste that also contains ginger; not obtainable from garlic alone.
human-reviewed,AUTO,allium,garlic,whole garlic head,COMPONENT,high,whole garlic head,,10,clove,false,"reviewed 2026-09-01: crosses the clove/head boundary — a recipe's garlic means cloves, the purchase is a head (D-WS9-194)"
ai-judged,AUTO,allium,green onions,large yellow onion,DISTINCT,high,,,,,,Scallions versus a bulb yellow onion: different produce items.
ai-judged,AUTO,allium,green onions,medium yellow onion,DISTINCT,high,,,,,,Scallions versus a bulb yellow onion: different produce items.
arbiter-resolved,AUTO,allium,green onions,onion,DISTINCT,high,,,,,,"Green onions/scallions are a separate produce item, not a colour variety of the bulb onion, so the flagged conflict with red/white/yellow subsumption is spurious."
ai-judged,AUTO,allium,green onions,red onion,DISTINCT,high,,,,,,Green onions and red onions are different products.
ai-judged,AUTO,allium,green onions,sliced green onions,SYNONYM,high,,,,,,Slicing transforms; nothing of the bunch is discarded.
ai-judged,AUTO,allium,green onions,white onion,DISTINCT,high,,,,,,Green onions versus bulb white onion: two purchases.
ai-judged,AUTO,allium,green onions,yellow onion,DISTINCT,high,,,,,,Green onions versus bulb yellow onion: two purchases.
ai-judged,AUTO,allium,head of garlic,whole garlic head,SYNONYM,high,,,,,,"Identical item, redundant 'whole'."
ai-judged,AUTO,allium,large yellow onion,medium yellow onion,DISTINCT,high,,,,,,Two specific sizes; neither subsumes the other.
human-reviewed,AUTO,allium,large yellow onion,onion,SUBSUMES,high,,onion,,,,reviewed 2026-09-01: accepted as genuine size-axis subsumption: the bare name is a wildcard on the size axis and the qualifier is a real grade (chat-Claude triage)
ai-judged,AUTO,allium,large yellow onion,red onion,DISTINCT,high,,,,,,Yellow versus red variety; both qualified.
ai-judged,AUTO,allium,large yellow onion,sliced green onions,DISTINCT,high,,,,,,Bulb onion versus scallion greens: different items.
ai-judged,AUTO,allium,large yellow onion,white onion,DISTINCT,high,,,,,,Yellow versus white variety; both qualified names.
arbiter-resolved,AUTO,allium,large yellow onion,yellow onion,DISTINCT,medium,,,,,,"Bare 'yellow onion' denotes the standard medium bulb (the default tier), so it is a sibling of the large size rather than its parent."
ai-judged,AUTO,allium,leeks,"leeks, white and light green parts only",COMPONENT,high,leeks,,0.5,each,false,"The dark green tops are discarded, so part of the purchased leek is waste."
human-reviewed,AUTO,allium,medium yellow onion,onion,SUBSUMES,high,,onion,,,,reviewed 2026-09-01: accepted as genuine size-axis subsumption: the bare name is a wildcard on the size axis and the qualifier is a real grade (chat-Claude triage)
ai-judged,AUTO,allium,medium yellow onion,red onion,DISTINCT,high,,,,,,Yellow versus red variety; two purchases.
ai-judged,AUTO,allium,medium yellow onion,sliced green onions,DISTINCT,high,,,,,,Bulb onion versus green onion: different produce.
ai-judged,AUTO,allium,medium yellow onion,white onion,DISTINCT,high,,,,,,Yellow versus white onion; both qualified.
ai-judged,AUTO,allium,medium yellow onion,yellow onion,DISTINCT,high,,,,,,"Bare 'yellow onion' already means the standard medium bulb, a sibling size, not a parent."
ai-judged,AUTO,allium,onion,onion powder,DISTINCT,high,,,,,,Dried ground spice versus fresh bulb: separate purchases.
arbiter-resolved,AUTO,allium,onion,pearl onion,SUBSUMES,medium,,onion,,,,"Pearl onions are a specific small variety of bulb onion; the bare generic 'onion' covers them, while pearl onions cannot be replaced by a large bulb."
arbiter-resolved,AUTO,allium,onion,red onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic exhausted by its colour varieties; red onion is one specific kind.
arbiter-resolved,AUTO,allium,onion,sliced green onions,DISTINCT,high,,,,,,"Sliced green onions are a separate produce item (scallions), not a variety of bulb onion."
arbiter-resolved,AUTO,allium,onion,spring onions,DISTINCT,high,,,,,,"Whether spring onions mean scallions or young bulbing onions, they are a different produce purchase from the mature bulb onion a recipe means by 'onion'."
arbiter-resolved,AUTO,allium,onion,white onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; white onion is a specific variety of it.
arbiter-resolved,AUTO,allium,onion,yellow onion,SUBSUMES,high,,onion,,,,'onion' is the bare generic; yellow onion is the specific variety that satisfies it.
ai-judged,AUTO,allium,red onion,sliced green onions,DISTINCT,high,,,,,,Red bulb onion versus scallion greens: different purchases.
ai-judged,AUTO,allium,red onion,white onion,DISTINCT,high,,,,,,Two specific onion varieties.
ai-judged,AUTO,allium,red onion,yellow onion,DISTINCT,high,,,,,,"Two specific onion varieties, as given in the rules."
ai-judged,AUTO,allium,scallions,sliced scallions,SYNONYM,high,,,,,,Slicing transforms the same bunch; nothing discarded.
ai-judged,AUTO,allium,sliced green onions,white onion,DISTINCT,high,,,,,,Green onions versus bulb white onion: different produce items.
ai-judged,AUTO,allium,sliced green onions,yellow onion,DISTINCT,high,,,,,,Green onions versus bulb yellow onion: different produce items.
ai-judged,AUTO,allium,white onion,yellow onion,DISTINCT,high,,,,,,Two specific onion varieties; a shopper needing one must buy the other.
ai-judged,AUTO,anise star,star anise,whole star anise,SYNONYM,high,,,,,,"Star anise is sold as whole dried stars by default; ""whole"" merely makes the standard form explicit — same jar, same purchase."
ai-judged,AUTO,apple cider,apple cider,apple cider vinegar,DISTINCT,high,,,,,,Apple cider is a fresh (or fermented) beverage; apple cider vinegar is a separate shelf-stable acidic condiment produced by full fermentation. A shopper holding cider who needs vinegar must buy a second product — they share the words 'apple cider' only.
arbiter-resolved,AUTO,apple,apple,apple cider,DISTINCT,high,,,,,,"Apple cider is a separate bottled beverage purchase, not obtainable from whole apples without pressing. Consistent with the family's high-confidence DISTINCT for 'apple ~ apple cider vinegar' and 'apple ~ apple wood chips' — processed apple products are separate shelf items."
ai-judged,AUTO,apple,apple,apple cider vinegar,DISTINCT,high,,,,,,Apple cider vinegar is a fermented pantry product bought in a bottle; whole apples do not yield it. Separate purchase.
ai-judged,AUTO,apple,apple,apple wood chips,DISTINCT,high,,,,,,Smoking wood chips from apple trees share only the word 'apple'; entirely different product from the fruit.
arbiter-resolved,AUTO,apple,apple,crisp apple,SUBSUMES,high,,apple,,,,"'Apple' is the bare generic here (the family already settled 'apple ~ granny smith apple' and 'apple ~ honeycrisp apple' as SUBSUMES at high confidence); 'crisp apple' merely qualifies texture, so a recipe calling for apple is satisfied by a crisp apple but not the reverse."
ai-judged,AUTO,apple,apple,granny smith apple,SUBSUMES,high,,apple,,,,'Apple' is the bare generic; Granny Smith is a specific cultivar of it. Directed: first name is generic.
ai-judged,AUTO,apple,apple,honeycrisp apple,SUBSUMES,high,,apple,,,,'Apple' is the bare generic; Honeycrisp is a specific cultivar of it. Directed: first name is generic.
ai-judged,AUTO,applewood chip,applewood chips,applewood smoking chips,SYNONYM,high,,,,,,Both names denote the same bag of apple wood chips sold for smoking; 'smoking' merely states the intended use and does not change the product a shopper picks up.
arbiter-resolved,AUTO,asparagu spear,asparagus spears,fresh asparagus spears,SYNONYM,high,,,,,,"Asparagus spears are a fresh-produce purchase by default; 'fresh' only states the standard state rather than distinguishing a different product (frozen/canned asparagus would be explicitly labelled). Both names send the shopper to the same bunch, and the family's other answers treat the two as interchangeable parents of 'thick-cut'."
human-reviewed,AUTO,asparagu spear,asparagus spears,"fresh asparagus spears, thick-cut",SUBSUMES,high,,asparagus spears,,,,reviewed 2026-09-01: accepted as genuine size-axis subsumption: the bare name is a wildcard on the size axis and the qualifier is a real grade (chat-Claude triage)
human-reviewed,AUTO,asparagu spear,fresh asparagus spears,"fresh asparagus spears, thick-cut",SUBSUMES,high,,fresh asparagus spears,,,,reviewed 2026-09-01: accepted as genuine size-axis subsumption: the bare name is a wildcard on the size axis and the qualifier is a real grade (chat-Claude triage)
